model,execution_type,db_path,table,sql_query,question,result,valid_efficiency_score,cell_precision,cell_recall,execution_accuracy,tuple_cardinality,tuple_constraint,tuple_order
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT * FROM `animals` ORDER BY `Average weight (kg)` DESC LIMIT 5,"List the top 5 rows from the table `animals`, sorted by the column `Average weight (kg)` in descending order.","[['Blue whale', 'Mammal', 'Oceans', 90, 136000], ['African elephant', 'Mammal', 'African savannas', 70, 5400], ['Hippopotamus', 'Mammal', 'African rivers', 40, 2400], ['White rhinoceros', 'Mammal', 'African savannas', 50, 3000], ['Giraffe', 'Mammal', 'Savannas', 25, 1500]]",0.0,0.85,0.85,0.0,1.0,0.0,0.5
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT * FROM `animals` ORDER BY `Name` ASC LIMIT 5,"List the top 5 rows from the table `animals`, sorted by the column `Name` in ascending order.","[['African Elephant', 'Mammal', 'African savannas', 70, 6000.0], ['African Lion', 'Mammal', 'Savannas', 14, 190.0], ['Alligator', 'Reptile', 'Rivers and lakes', 70, 500.0], ['Bald Eagle', 'Bird', 'Mountains', 25, 6.0], ['Blue Whale', 'Mammal', 'Oceans', 90, 140000.0]]",0.0,0.364,0.381,0.0,1.0,0.0,0.5
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT `Name` FROM `animals` ORDER BY `Name` ASC LIMIT 5,Select only the column `Name` from `animals`. Sort it in ascending order and return the first 5 values.,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT `Average lifespan` FROM `animals` ORDER BY `Average lifespan` DESC LIMIT 5,Select only the column `Average lifespan` from `animals`. Sort it in descending order and return the first 5 values.,"[['African elephant', 65], ['Hippopotamus', 61.2], ['Golden eagle', 48], ['Nile crocodile', 56], ['Giraffe', 39.5]]",0.0,0.0,0.0,0.0,1.0,0.0,0.5
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT `Average weight (kg)` FROM `animals` ORDER BY `Average weight (kg)` ASC LIMIT 5,Select only the column `Average weight (kg)` from `animals`. Sort it in ascending order and return the first 5 values.,"[['Seahorse', 0.002], ['Macaw parrot', 0.9], ['King cobra', 6], ['Golden eagle', 4.5], ['Emperor penguin', 33.5]]",0.0,0.1,0.2,0.0,1.0,0.0,0.5
gpt-5_mini,,data/categorical_simple_eng.sqlite,cars,SELECT * FROM `cars` ORDER BY `Horsepower` ASC LIMIT 5,"List the top 5 rows from the table `cars`, sorted by the column `Horsepower` in ascending order.","[['Fiat Panda', 'Fiat', 2020, 'City car', 68, 4.9, 'Italy'], ['Toyota Aygo X', 'Toyota', 2022, 'City car', 69, 4.8, 'Czech Republic'], ['Nissan Leaf', 'Nissan', 2022, 'Hatchback', 110, 0.0, 'Japan'], ['Peugeot 208', 'Peugeot', 2022, 'Hatchback', 110, 4.5, 'France'], ['Volkswagen Polo', 'Volkswagen', 2021, 'Hatchback', 110, 4.8, 'Germany']]",0.0,0.556,0.536,0.0,1.0,0.0,0.5
gpt-5_mini,,data/categorical_simple_eng.sqlite,cars,SELECT `Brand` FROM `cars` ORDER BY `Brand` DESC LIMIT 5,Select only the column `Brand` from `cars`. Sort it in descending order and return the first 5 values.,"[['Volkswagen'], ['Tesla'], ['Nissan'], ['Peugeot'], ['Toyota']]",0.0,0.4,0.667,0.0,1.0,0.0,1.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,cars,SELECT `Model` FROM `cars` ORDER BY `Model` ASC LIMIT 5,Select only the column `Model` from `cars`. Sort it in ascending order and return the first 5 values.,"[['500L'], ['500X'], ['500 Hybrid'], ['500e'], ['500']]",0.0,0.2,0.2,0.0,1.0,0.2,1.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,cars,SELECT `Model` FROM `cars` ORDER BY `Model` DESC LIMIT 5,Select only the column `Model` from `cars`. Sort it in descending order and return the first 5 values.,"[['Tesla Model S'], ['Tesla Model 3'], ['Tesla Model X'], ['Tesla Model Y'], ['Volkswagen ID.4']]",0.0,0.0,0.0,0.0,1.0,0.0,0.5
gpt-5_mini,,data/categorical_simple_eng.sqlite,monuments,SELECT * FROM `monuments` ORDER BY `year_built` ASC LIMIT 5,"List the top 5 rows from the table `monuments`, sorted by the column `year_built` in ascending order.","[['Great Wall', 'China', 7.8, '7th century BC', 'stone'], ['Stonehenge', 'United Kingdom', 4.0, 'c. 3000–2000 BC', 'sarsen'], ['Great Pyramid of Giza', 'Egypt', 138.8, 'c. 2580–2560 BC', 'limestone'], ['Colosseum', 'Italy', 48.0, '80 AD', 'travertine'], ['Leaning Tower of Pisa', 'Italy', 56.7, '1372', 'marble']]",0.0,0.542,0.52,0.0,1.0,0.0,0.5
