model,db_path,table,sql_query,question,result,valid_efficiency_score,cell_precision,cell_recall,execution_accuracy,tuple_cardinality,tuple_constraint,tuple_order
GPT-4o-mini,data/db_numerical_simple.sqlite,BMI,SELECT * FROM `BMI` ORDER BY `BMI` ASC LIMIT 5,"List the top 5 rows from the table `BMI`, sorted by the column `BMI` in ascending order.","[['2', 'Carla', 1.79, 49.9, 15.6, 'Low'], ['28', 'Mia', 1.74, 48.4, 16.0, 'Low'], ['10', 'Karen', 1.51, 54.2, 23.8, 'Low'], ['26', 'Liam', 1.58, 51.6, 20.7, 'Low'], ['1', 'Bob', 1.88, 57.8, 16.3, 'Low']]",0.0,0.269,0.269,0,1.0,0.0,0.5
GPT-4o-mini,data/db_numerical_simple.sqlite,BMI,SELECT `height_m` FROM `BMI` ORDER BY `height_m` ASC LIMIT 5,Select only the column `height_m` from `BMI`. Sort it in ascending order and return the first 5 values.,"[[1.51], [1.52], [1.52], [1.56], [1.56]]",0.0,0.0,0.0,0,1.0,0.0,0.5
GPT-4o-mini,data/db_numerical_simple.sqlite,BMI,SELECT `height_m` FROM `BMI` ORDER BY `height_m` DESC LIMIT 5,Select only the column `height_m` from `BMI`. Sort it in descending order and return the first 5 values.,"[[1.89], [1.88], [1.85], [1.83], [1.78]]",0.0,0.0,0.0,0,1.0,0.0,0.5
GPT-4o-mini,data/db_numerical_simple.sqlite,BMI,SELECT `BMI` FROM `BMI` ORDER BY `BMI` DESC LIMIT 5,Select only the column `BMI` from `BMI`. Sort it in descending order and return the first 5 values.,"[[43.0], [42.4], [41.2], [39.4], [38.9]]",0.0,0.0,0.0,0,1.0,0.0,0.5
GPT-4o-mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `id` ASC LIMIT 5,"List the top 5 rows from the table `energy_consumption`, sorted by the column `id` in ascending order.","[[0, 'Family_1', 987, 33, 0.28, 29.91, 276.36], [1, 'Family_2', 1248, 27, 0.25, 46.22, 312.0], [2, 'Family_3', 1123, 32, 0.22, 35.09, 247.06], [3, 'Family_4', 1108, 29, 0.27, 38.21, 299.16], [4, 'Family_5', 1465, 30, 0.25, 48.83, 366.25]]",0.0,0.971,0.971,0,1.0,0.0,0.5
GPT-4o-mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `id` DESC LIMIT 5,"List the top 5 rows from the table `energy_consumption`, sorted by the column `id` in descending order.","[[24, 'Family_25', 631, 28, 0.21, 22.54, 132.51], [23, 'Family_24', 1149, 34, 0.26, 33.79, 298.74], [22, 'Family_23', 805, 30, 0.3, 26.83, 241.5], [21, 'Family_22', 1910, 27, 0.29, 70.74, 553.9], [20, 'Family_21', 1257, 33, 0.22, 38.09, 276.54]]",0.0,0.971,0.971,0,1.0,0.0,0.5
GPT-4o-mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT `id` FROM `energy_consumption` ORDER BY `id` ASC LIMIT 5,Select only the column `id` from `energy_consumption`. Sort it in ascending order and return the first 5 values.,"[[0], [1], [2], [3], [4]]",0.0,0.8,0.8,0,1.0,0.8,1.0
GPT-4o-mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT `id` FROM `energy_consumption` ORDER BY `id` DESC LIMIT 5,Select only the column `id` from `energy_consumption`. Sort it in descending order and return the first 5 values.,"[[24], [23], [22], [21], [20]]",0.0,0.8,0.8,0,1.0,0.8,1.0
GPT-4o-mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT `avg_daily_kwh` FROM `energy_consumption` ORDER BY `avg_daily_kwh` DESC LIMIT 5,Select only the column `avg_daily_kwh` from `energy_consumption`. Sort it in descending order and return the first 5 values.,"[[92.44], [70.74], [63.5], [62.55], [56.84]]",0.0,1.0,1.0,1,1.0,1.0,1.0
GPT-4o-mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT `kwh_used` FROM `energy_consumption` ORDER BY `kwh_used` DESC LIMIT 5,Select only the column `kwh_used` from `energy_consumption`. Sort it in descending order and return the first 5 values.,"[[2064], [2311], [2032], [1910], [1762]]",0.0,1.0,1.0,1,1.0,1.0,0.95
GPT-4o-mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT `total_cost` FROM `energy_consumption` ORDER BY `total_cost` ASC LIMIT 5,Select only the column `total_cost` from `energy_consumption`. Sort it in ascending order and return the first 5 values.,"[[132.51], [226.8], [241.36], [241.5], [247.06]]",0.0,1.0,1.0,1,1.0,1.0,1.0
GPT-4o-mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT `total_cost` FROM `energy_consumption` ORDER BY `total_cost` DESC LIMIT 5,Select only the column `total_cost` from `energy_consumption`. Sort it in descending order and return the first 5 values.,"[[785.74], [711.2], [581.46], [553.9], [412.8]]",0.0,1.0,1.0,1,1.0,1.0,1.0
GPT-4o-mini,data/db_numerical_simple.sqlite,financial,SELECT `risk_profile` FROM `financial` ORDER BY `risk_profile` ASC LIMIT 5,Select only the column `risk_profile` from `financial`. Sort it in ascending order and return the first 5 values.,"[['Conservative'], ['Conservative'], ['Moderate'], ['Moderate'], ['Moderate']]",0.0,0.0,0.0,0,1.0,0.0,0.5
GPT-4o-mini,data/db_numerical_simple.sqlite,logistics_delivery,SELECT * FROM `logistics_delivery` ORDER BY `id` ASC LIMIT 5,"List the top 5 rows from the table `logistics_delivery`, sorted by the column `id` in ascending order.","[[1, 'Driver_1', 149, 23, 2.5, 29.3, 59.6, 5.09, 0.154], [2, 'Driver_2', 210, 35, 1.9, 25.4, 110.5, 8.27, 0.167], [3, 'Driver_3', 293, 13, 3.7, 14.2, 79.2, 20.63, 0.044], [4, 'Driver_4', 115, 71, 5.8, 17.7, 19.8, 6.5, 0.617], [5, 'Driver_5', 152, 67, 3.5, 29.5, 43.4, 5.15, 0.441]]",0.0,1.0,1.0,1,1.0,1.0,1.0
GPT-4o-mini,data/db_numerical_simple.sqlite,logistics_delivery,SELECT `speed_kmph` FROM `logistics_delivery` ORDER BY `speed_kmph` ASC LIMIT 5,Select only the column `speed_kmph` from `logistics_delivery`. Sort it in ascending order and return the first 5 values.,"[[25.69], [35.71], [40.0], [43.33], [45.0]]",0.0,0.0,0.0,0,1.0,0.0,0.5
GPT-4o-mini,data/db_numerical_simple.sqlite,logistics_delivery,SELECT `speed_kmph` FROM `logistics_delivery` ORDER BY `speed_kmph` DESC LIMIT 5,Select only the column `speed_kmph` from `logistics_delivery`. Sort it in descending order and return the first 5 values.,"[[123.53], [104.86], [97.67], [91.15], [88.33]]",0.0,0.0,0.0,0,1.0,0.0,0.5
GPT-4o-mini,data/db_numerical_simple.sqlite,logistics_delivery,SELECT `id` FROM `logistics_delivery` ORDER BY `id` ASC LIMIT 5,Select only the column `id` from `logistics_delivery`. Sort it in ascending order and return the first 5 values.,"[[1], [2], [3], [4], [5]]",0.0,1.0,1.0,1,1.0,1.0,1.0
GPT-4o-mini,data/db_numerical_simple.sqlite,logistics_delivery,SELECT `id` FROM `logistics_delivery` ORDER BY `id` DESC LIMIT 5,Select only the column `id` from `logistics_delivery`. Sort it in descending order and return the first 5 values.,"[[25], [24], [23], [22], [21]]",0.0,1.0,1.0,1,1.0,1.0,1.0
GPT-4o-mini,data/db_numerical_simple.sqlite,logistics_delivery,SELECT `time_hrs` FROM `logistics_delivery` ORDER BY `time_hrs` ASC LIMIT 5,Select only the column `time_hrs` from `logistics_delivery`. Sort it in ascending order and return the first 5 values.,"[[1.2], [1.4], [1.5], [1.6], [1.7]]",0.0,0.2,0.2,0,1.0,0.2,1.0
GPT-4o-mini,data/db_numerical_simple.sqlite,logistics_delivery,SELECT `packages_per_km` FROM `logistics_delivery` ORDER BY `packages_per_km` DESC LIMIT 5,Select only the column `packages_per_km` from `logistics_delivery`. Sort it in descending order and return the first 5 values.,"[[1.5], [1.442], [0.707], [0.683], [0.617]]",0.0,1.0,1.0,1,1.0,1.0,1.0
GPT-4o-mini,data/db_numerical_simple.sqlite,products,SELECT `is_top_seller` FROM `products` ORDER BY `is_top_seller` ASC LIMIT 5,Select only the column `is_top_seller` from `products`. Sort it in ascending order and return the first 5 values.,"[[False], [False], [False], [False], [False]]",0.0,0.0,0.0,0,1.0,0.0,0.5
GPT-4o-mini,data/db_numerical_simple.sqlite,products,SELECT `is_top_seller` FROM `products` ORDER BY `is_top_seller` DESC LIMIT 5,Select only the column `is_top_seller` from `products`. Sort it in descending order and return the first 5 values.,"[[True], [True], [True], [True], [True]]",0.0,0.0,0.0,0,1.0,0.0,0.5
GPT-4o-mini,data/db_numerical_simple.sqlite,student_performance,SELECT * FROM `student_performance` ORDER BY `id` ASC LIMIT 5,"List the top 5 rows from the table `student_performance`, sorted by the column `id` in ascending order.","[[1, 'Student_1', 82, 85, 83.5, 'Yes'], [2, 'Student_2', 48, 93, 70.5, 'Yes'], [3, 'Student_3', 52, 58, 55.0, 'Yes'], [4, 'Student_4', 62, 83, 72.5, 'Yes'], [5, 'Student_5', 51, 52, 51.5, 'Yes']]",0.0,1.0,1.0,1,1.0,1.0,1.0
GPT-4o-mini,data/db_numerical_simple.sqlite,student_performance,SELECT `english_score` FROM `student_performance` ORDER BY `english_score` ASC LIMIT 5,Select only the column `english_score` from `student_performance`. Sort it in ascending order and return the first 5 values.,"[[47.5], [47.5], [50.5], [51.5], [52.0]]",0.0,0.0,0.0,0,1.0,0.0,0.5
GPT-4o-mini,data/db_numerical_simple.sqlite,student_performance,SELECT `id` FROM `student_performance` ORDER BY `id` ASC LIMIT 5,Select only the column `id` from `student_performance`. Sort it in ascending order and return the first 5 values.,"[[1], [2], [3], [4], [5]]",0.0,1.0,1.0,1,1.0,1.0,1.0
GPT-4o-mini,data/db_numerical_simple.sqlite,student_performance,SELECT `id` FROM `student_performance` ORDER BY `id` DESC LIMIT 5,Select only the column `id` from `student_performance`. Sort it in descending order and return the first 5 values.,"[[25], [24], [23], [22], [21]]",0.0,1.0,1.0,1,1.0,1.0,1.0
