model,db_path,table,sql_query,question,result,valid_efficiency_score,cell_precision,cell_recall,execution_accuracy,tuple_cardinality,tuple_constraint,tuple_order
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT * FROM `BMI` ORDER BY `height_m` ASC LIMIT 5,"List the top 5 rows from the table `BMI`, sorted by the column `height_m` in ascending order.","[['6', 'Grace', '1.52', '67.8', '29.3', 'Medium'], ['29', 'Lily', '1.52', '69.4', '30.0', 'Medium'], ['10', 'Karen', '1.51', '54.2', '23.8', 'Low'], ['21', 'Victor', '1.56', '103.1', '42.4', 'High'], ['5', 'Frank', '1.56', '105.6', '43.4', 'High']]",0.0,0.846,0.846,0,1.0,0.8,0.7
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT * FROM `BMI` ORDER BY `height_m` DESC LIMIT 5,"List the top 5 rows from the table `BMI`, sorted by the column `height_m` in descending order.","[['11', 'Leo', '1.89', '82.1', '23.0', 'Low'], ['1', 'Bob', '1.88', '57.8', '16.4', 'Low'], ['7', 'Helen', '1.85', '52.3', '15.3', 'Low'], ['12', 'Maria', '1.83', '47.6', '14.2', 'Low'], ['25', 'Zane', '1.81', '114.1', '34.8', 'Medium']]",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT * FROM `BMI` ORDER BY `weight_kg` ASC LIMIT 5,"List the top 5 rows from the table `BMI`, sorted by the column `weight_kg` in ascending order.","[['12', 'Maria', '1.83', '47.6', '14.2', 'Low'], ['28', 'Mia', '1.74', '48.4', '16.0', 'Low'], ['2', 'Carla', '1.79', '49.9', '15.6', 'Low'], ['26', 'Liam', '1.58', '51.6', '20.7', 'Low'], ['7', 'Helen', '1.85', '52.3', '15.3', 'Low']]",0.0,0.038,0.038,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT * FROM `BMI` ORDER BY `weight_kg` DESC LIMIT 5,"List the top 5 rows from the table `BMI`, sorted by the column `weight_kg` in descending order.","[['20', 'Uma', '1.74', '117.7', '38.9', 'High'], ['4', 'Emma', '1.56', '117.4', '48.2', 'High'], ['22', 'Wendy', '1.62', '115.5', '44.0', 'High'], ['25', 'Zane', '1.81', '114.1', '34.8', 'Medium'], ['13', 'Nina', '1.58', '113.2', '45.3', 'High']]",0.0,0.111,0.115,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT * FROM `BMI` ORDER BY `BMI` ASC LIMIT 5,"List the top 5 rows from the table `BMI`, sorted by the column `BMI` in ascending order.","[['12', 'Maria', '1.83', '47.6', '14.2', 'Low'], ['7', 'Helen', '1.85', '52.3', '15.3', 'Low'], ['2', 'Carla', '1.79', '49.9', '15.6', 'Low'], ['28', 'Mia', '1.74', '48.4', '16.0', 'Low'], ['1', 'Bob', '1.88', '57.8', '16.4', 'Low']]",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT * FROM `BMI` ORDER BY `BMI` DESC LIMIT 5,"List the top 5 rows from the table `BMI`, sorted by the column `BMI` in descending order.","[['6', 'Grace', '1.52', '67.8', '29.3', 'Medium'], ['10', 'Karen', '1.51', '54.2', '23.8', 'Low'], ['29', 'Lily', '1.52', '69.4', '30.0', 'Medium'], ['13', 'Nina', '1.58', '113.2', '45.3', 'High'], ['26', 'Liam', '1.58', '51.6', '20.7', 'Low']]",0.0,0.231,0.25,0,1.0,0.2,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT * FROM `BMI` ORDER BY `height_m` + `weight_kg` + `risk_category` ASC LIMIT 5,"Compute the sum of the columns height_m, weight_kg, risk_category for each row in `BMI`. Sort all rows in ascending order by this sum and return the first 5 rows.","[['12', 'Maria', '1.83', '47.6', '14.2', 'Low'], ['28', 'Mia', '1.74', '48.4', '16.0', 'Low'], ['2', 'Carla', '1.79', '49.9', '15.6', 'Low'], ['26', 'Liam', '1.58', '51.6', '20.7', 'Low'], ['7', 'Helen', '1.85', '52.3', '15.3', 'Low']]",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT * FROM `BMI` ORDER BY `height_m` + `weight_kg` + `risk_category` DESC LIMIT 5,"Compute the sum of the columns height_m, weight_kg, risk_category for each row in `BMI`. Sort all rows in descending order by this sum and return the first 5 rows.","[['20', 'Uma', '1.74', '117.7', '38.9', 'High'], ['4', 'Emma', '1.56', '117.4', '48.2', 'High'], ['22', 'Wendy', '1.62', '115.5', '44.0', 'High'], ['25', 'Zane', '1.81', '114.1', '34.8', 'Medium'], ['23', 'Xander', '1.65', '112.1', '41.2', 'High']]",0.0,0.815,0.846,0,1.0,0.8,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT * FROM `BMI` ORDER BY `weight_kg` + `BMI` ASC LIMIT 5,"Compute the sum of the columns weight_kg, BMI for each row in `BMI`. Sort all rows in ascending order by this sum and return the first 5 rows.","[['12', 'Maria', '1.83', '47.6', '14.2', 'Low', 61.8], ['28', 'Mia', '1.74', '48.4', '16.0', 'Low', 64.4], ['2', 'Carla', '1.79', '49.9', '15.6', 'Low', 65.5], ['7', 'Helen', '1.85', '52.3', '15.3', 'Low', 67.6], ['26', 'Liam', '1.58', '51.6', '20.7', 'Low', 72.3]]",0.0,0.839,1.0,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT * FROM `BMI` ORDER BY `weight_kg` + `BMI` DESC LIMIT 5,"Compute the sum of the columns weight_kg, BMI for each row in `BMI`. Sort all rows in descending order by this sum and return the first 5 rows.","[['4', 'Emma', '1.56', '117.4', '48.2', 'High', 165.6], ['20', 'Uma', '1.74', '117.7', '38.9', 'High', 156.6], ['13', 'Nina', '1.58', '113.2', '45.3', 'High', 158.5], ['22', 'Wendy', '1.62', '115.5', '44.0', 'High', 159.5], ['25', 'Zane', '1.81', '114.1', '34.8', 'Medium', 148.9]]",0.0,0.656,0.84,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT * FROM `BMI` ORDER BY `height_m` + `BMI` + `risk_category` ASC LIMIT 5,"Compute the sum of the columns height_m, BMI, risk_category for each row in `BMI`. Sort all rows in ascending order by this sum and return the first 5 rows.","[['12', 'Maria', '1.83', '47.6', '14.2', 'Low', 16.03], ['7', 'Helen', '1.85', '52.3', '15.3', 'Low', 17.15], ['2', 'Carla', '1.79', '49.9', '15.6', 'Low', 17.39], ['28', 'Mia', '1.74', '48.4', '16.0', 'Low', 17.74], ['1', 'Bob', '1.88', '57.8', '16.4', 'Low', 18.28]]",0.0,0.839,1.0,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT * FROM `BMI` ORDER BY `height_m` + `BMI` + `risk_category` DESC LIMIT 5,"Compute the sum of the columns height_m, BMI, risk_category for each row in `BMI`. Sort all rows in descending order by this sum and return the first 5 rows.","[['4', 'Emma', '1.56', '117.4', '48.2', 'High', 51.56], ['13', 'Nina', '1.58', '113.2', '45.3', 'High', 48.88], ['22', 'Wendy', '1.62', '115.5', '44.0', 'High', 47.62], ['5', 'Frank', '1.56', '105.6', '43.4', 'High', 46.96], ['21', 'Victor', '1.56', '103.1', '42.4', 'High', 45.96]]",0.0,0.828,1.0,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT * FROM `BMI` ORDER BY `weight_kg` + `risk_category` ASC LIMIT 5,"Compute the sum of the columns weight_kg, risk_category for each row in `BMI`. Sort all rows in ascending order by this sum and return the first 5 rows.","[['7', 'Helen', '1.85', '52.3', '15.3', 'Low', 1, 53.3], ['1', 'Bob', '1.88', '57.8', '16.4', 'Low', 1, 58.8], ['28', 'Mia', '1.74', '48.4', '16.0', 'Low', 1, 49.4], ['26', 'Liam', '1.58', '51.6', '20.7', 'Low', 1, 52.6], ['2', 'Carla', '1.79', '49.9', '15.6', 'Low', 1, 50.9]]",0.0,0.656,0.808,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT * FROM `BMI` ORDER BY `weight_kg` + `risk_category` DESC LIMIT 5,"Compute the sum of the columns weight_kg, risk_category for each row in `BMI`. Sort all rows in descending order by this sum and return the first 5 rows.","[['4', 'Emma', '1.56', '117.4', '48.2', 'High'], ['20', 'Uma', '1.74', '117.7', '38.9', 'High'], ['22', 'Wendy', '1.62', '115.5', '44.0', 'High'], ['25', 'Zane', '1.81', '114.1', '34.8', 'Medium'], ['23', 'Xander', '1.65', '112.1', '41.2', 'High']]",0.0,0.815,0.846,0,1.0,0.8,0.9
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT * FROM `BMI` ORDER BY `height_m` + `risk_category` ASC LIMIT 5,"Compute the sum of the columns height_m, risk_category for each row in `BMI`. Sort all rows in ascending order by this sum and return the first 5 rows.","[['7', 'Helen', '1.85', '52.3', '15.3', 'Low'], ['10', 'Karen', '1.51', '54.2', '23.8', 'Low'], ['1', 'Bob', '1.88', '57.8', '16.4', 'Low'], ['2', 'Carla', '1.79', '49.9', '15.6', 'Low'], ['12', 'Maria', '1.83', '47.6', '14.2', 'Low']]",0.0,0.231,0.231,0,1.0,0.2,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT * FROM `BMI` ORDER BY `height_m` + `risk_category` DESC LIMIT 5,"Compute the sum of the columns height_m, risk_category for each row in `BMI`. Sort all rows in descending order by this sum and return the first 5 rows.","[['10', 'Karen', '1.51', '54.2', '23.8', 'Low'], ['7', 'Helen', '1.85', '52.3', '15.3', 'Low'], ['1', 'Bob', '1.88', '57.8', '16.4', 'Low'], ['2', 'Carla', '1.79', '49.9', '15.6', 'Low'], ['12', 'Maria', '1.83', '47.6', '14.2', 'Low']]",0.0,0.615,0.593,0,1.0,0.6,0.75
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT `height_m` FROM `BMI` ORDER BY `height_m` ASC LIMIT 5,Select only the column `height_m` from `BMI`. Sort it in ascending order and return the first 5 values.,"[['1.51'], ['1.52'], ['1.52'], ['1.56'], ['1.56']]",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT `height_m` FROM `BMI` ORDER BY `height_m` DESC LIMIT 5,Select only the column `height_m` from `BMI`. Sort it in descending order and return the first 5 values.,"[['1.89'], ['1.88'], ['1.85'], ['1.83'], ['1.81']]",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT `weight_kg` FROM `BMI` ORDER BY `weight_kg` ASC LIMIT 5,Select only the column `weight_kg` from `BMI`. Sort it in ascending order and return the first 5 values.,"[['47.6'], ['48.4'], ['49.9'], ['51.6'], ['52.3']]",0.0,0.0,0.0,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT `weight_kg` FROM `BMI` ORDER BY `weight_kg` DESC LIMIT 5,Select only the column `weight_kg` from `BMI`. Sort it in descending order and return the first 5 values.,"[['117.7'], ['117.4'], ['116.2'], ['115.5'], ['114.1']]",0.0,0.0,0.0,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT `BMI` FROM `BMI` ORDER BY `BMI` ASC LIMIT 5,Select only the column `BMI` from `BMI`. Sort it in ascending order and return the first 5 values.,"[['14.2'], ['15.3'], ['15.6'], ['16.0'], ['16.4']]",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT `BMI` FROM `BMI` ORDER BY `BMI` DESC LIMIT 5,Select only the column `BMI` from `BMI`. Sort it in descending order and return the first 5 values.,"[['48.2'], ['45.3'], ['44.0'], ['42.4'], ['41.2']]",0.0,0.8,0.8,0,1.0,0.8,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT `risk_category` FROM `BMI` ORDER BY `risk_category` ASC LIMIT 5,Select only the column `risk_category` from `BMI`. Sort it in ascending order and return the first 5 values.,"[['High'], ['High'], ['High'], ['High'], ['High']]",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,BMI,SELECT `risk_category` FROM `BMI` ORDER BY `risk_category` DESC LIMIT 5,Select only the column `risk_category` from `BMI`. Sort it in descending order and return the first 5 values.,"[['Medium'], ['Medium'], ['Medium'], ['Medium'], ['Medium']]",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `household_name` ASC LIMIT 5,"List the top 5 rows from the table `energy_consumption`, sorted by the column `household_name` in ascending order.","[[1, 'Family_1', 987, 33, 0.28, 29.91, 276.36], [2, 'Family_10', 1272, 31, 0.21, 41.03, 267.12], [3, 'Family_11', 1322, 30, 0.3, 44.07, 396.6], [4, 'Family_12', 2311, 25, 0.34, 92.44, 785.74], [5, 'Family_13', 1265, 32, 0.32, 39.53, 404.8]]",0.0,0.886,0.886,0,1.0,0.2,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `household_name` DESC LIMIT 5,"List the top 5 rows from the table `energy_consumption`, sorted by the column `household_name` in descending order.","[[25, 'Family_9', 1027, 30, 0.28, 34.23, 287.56], [24, 'Family_8', 810, 30, 0.28, 27, 226.8], [23, 'Family_7', 2064, 33, 0.2, 62.55, 412.8], [22, 'Family_6', 1762, 31, 0.33, 56.84, 581.46], [21, 'Family_5', 1465, 30, 0.25, 48.83, 366.25]]",0.0,0.844,0.844,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `avg_daily_kwh` ASC LIMIT 5,"List the top 5 rows from the table `energy_consumption`, sorted by the column `avg_daily_kwh` in ascending order.","[[25, 'Family_25', 631, 28, 0.21, 22.54, 132.51], [23, 'Family_23', 805, 30, 0.3, 26.83, 241.5], [8, 'Family_8', 810, 30, 0.28, 27.0, 226.8], [18, 'Family_18', 849, 31, 0.33, 27.39, 280.17], [14, 'Family_14', 899, 25, 0.34, 35.96, 305.66]]",0.0,0.818,0.818,0,1.0,0.8,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `avg_daily_kwh` DESC LIMIT 5,"List the top 5 rows from the table `energy_consumption`, sorted by the column `avg_daily_kwh` in descending order.","[[12, 'Family_12', 2311, 25, 0.34, 92.44, 785.74], [22, 'Family_22', 1910, 27, 0.29, 70.74, 553.9], [16, 'Family_16', 2032, 32, 0.35, 63.5, 711.2], [7, 'Family_7', 2064, 33, 0.2, 62.55, 412.8], [6, 'Family_6', 1762, 31, 0.33, 56.84, 581.46]]",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `id` ASC LIMIT 5,"List the top 5 rows from the table `energy_consumption`, sorted by the column `id` in ascending order.","[[1, 'Family_1', 987, 33, 0.28, 29.91, 276.36], [2, 'Family_2', 1248, 27, 0.25, 46.22, 312.0], [3, 'Family_3', 1123, 32, 0.22, 35.09, 247.06], [4, 'Family_4', 1108, 29, 0.27, 38.21, 299.16], [5, 'Family_5', 1465, 30, 0.25, 48.83, 366.25]]",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `id` DESC LIMIT 5,"List the top 5 rows from the table `energy_consumption`, sorted by the column `id` in descending order.","[[25, 'Family_25', 631, 28, 0.21, 22.54, 132.51], [24, 'Family_24', 1149, 34, 0.26, 33.79, 298.74], [23, 'Family_23', 805, 30, 0.3, 26.83, 241.5], [22, 'Family_22', 1910, 27, 0.29, 70.74, 553.9], [21, 'Family_21', 1257, 33, 0.22, 38.09, 276.54]]",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `total_cost` ASC LIMIT 5,"List the top 5 rows from the table `energy_consumption`, sorted by the column `total_cost` in ascending order.","[[24, 'Family_25', 631, 28, 0.21, 22.54, 132.51], [14, 'Family_15', 862, 27, 0.28, 31.93, 241.36], [22, 'Family_23', 805, 30, 0.3, 26.83, 241.5], [2, 'Family_3', 1123, 32, 0.22, 35.09, 247.06], [9, 'Family_10', 1272, 31, 0.21, 41.03, 267.12]]",0.0,0.706,0.75,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `total_cost` DESC LIMIT 5,"List the top 5 rows from the table `energy_consumption`, sorted by the column `total_cost` in descending order.","[[12, 'Family_12', 2311, 25, 0.34, 92.44, 785.74], [16, 'Family_16', 2032, 32, 0.35, 63.5, 711.2], [6, 'Family_6', 1762, 31, 0.33, 56.84, 581.46], [22, 'Family_22', 1910, 27, 0.29, 70.74, 553.9], [7, 'Family_7', 2064, 33, 0.2, 62.55, 412.8]]",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `id` + `household_name` ASC LIMIT 5,"Compute the sum of the columns id, household_name for each row in `energy_consumption`. Sort all rows in ascending order by this sum and return the first 5 rows.","[[1, 'Family_1', 987, 33, 0.28, 29.91, 276.36, 1], [2, 'Family_2', 1248, 27, 0.25, 46.22, 312.0, 2], [3, 'Family_3', 1123, 32, 0.22, 35.09, 247.06, 3], [4, 'Family_4', 1108, 29, 0.27, 38.21, 299.16, 4], [5, 'Family_5', 1465, 30, 0.25, 48.83, 366.25, 5]]",0.0,1.0,1.0,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `id` + `household_name` DESC LIMIT 5,"Compute the sum of the columns id, household_name for each row in `energy_consumption`. Sort all rows in descending order by this sum and return the first 5 rows.","[[25, 'Family_25', 631, 28, 0.21, 22.54, 132.51, 25], [24, 'Family_24', 1149, 34, 0.26, 33.79, 298.74, 24], [23, 'Family_23', 805, 30, 0.3, 26.83, 241.5, 23], [22, 'Family_22', 1910, 27, 0.29, 70.74, 553.9, 22], [21, 'Family_21', 1257, 33, 0.22, 38.09, 276.54, 21]]",0.0,1.0,1.0,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `cost_per_kwh` + `avg_daily_kwh` ASC LIMIT 5,"Compute the sum of the columns cost_per_kwh, avg_daily_kwh for each row in `energy_consumption`. Sort all rows in ascending order by this sum and return the first 5 rows.","[[25, 'Family_25', 631, 28, 0.21, 22.54, 132.51, 22.75], [22, 'Family_23', 805, 30, 0.3, 26.83, 241.5, 27.13], [8, 'Family_9', 1027, 30, 0.28, 34.23, 287.56, 34.51], [18, 'Family_19', 1201, 28, 0.34, 42.89, 408.34, 43.23], [17, 'Family_18', 849, 31, 0.33, 27.39, 280.17, 27.72]]",0.0,0.579,0.667,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `cost_per_kwh` + `avg_daily_kwh` DESC LIMIT 5,"Compute the sum of the columns cost_per_kwh, avg_daily_kwh for each row in `energy_consumption`. Sort all rows in descending order by this sum and return the first 5 rows.","[[12, 'Family_12', 2311, 25, 0.34, 92.44, 785.74, 92.78], [16, 'Family_16', 2032, 32, 0.35, 63.5, 711.2, 63.85], [22, 'Family_22', 1910, 27, 0.29, 70.74, 553.9, 71.03], [7, 'Family_7', 2064, 33, 0.2, 62.55, 412.8, 62.75], [6, 'Family_6', 1762, 31, 0.33, 56.84, 581.46, 57.17]]",0.0,0.875,1.0,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `days_active` + `avg_daily_kwh` ASC LIMIT 5,"Compute the sum of the columns days_active, avg_daily_kwh for each row in `energy_consumption`. Sort all rows in ascending order by this sum and return the first 5 rows.","[[25, 'Family_25', 631, 28, 0.21, 22.54, 132.51, 50.54], [23, 'Family_23', 805, 30, 0.3, 26.83, 241.5, 56.83], [8, 'Family_8', 810, 30, 0.28, 27.0, 226.8, 57.0], [18, 'Family_18', 849, 31, 0.33, 27.39, 280.17, 58.39], [15, 'Family_15', 862, 27, 0.28, 31.93, 241.36, 58.93]]",0.0,0.865,1.0,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `days_active` + `avg_daily_kwh` DESC LIMIT 5,"Compute the sum of the columns days_active, avg_daily_kwh for each row in `energy_consumption`. Sort all rows in descending order by this sum and return the first 5 rows.","[[12, 'Family_12', 2311, 25, 0.34, 92.44, 785.74, 117.44], [16, 'Family_16', 2032, 32, 0.35, 63.5, 711.2, 95.5], [22, 'Family_22', 1910, 27, 0.29, 70.74, 553.9, 97.74], [7, 'Family_7', 2064, 33, 0.2, 62.55, 412.8, 95.55], [6, 'Family_6', 1762, 31, 0.33, 56.84, 581.46, 87.84]]",0.0,0.875,1.0,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `id` + `avg_daily_kwh` + `total_cost` ASC LIMIT 5,"Compute the sum of the columns id, avg_daily_kwh, total_cost for each row in `energy_consumption`. Sort all rows in ascending order by this sum and return the first 5 rows.","[[25, 'Family_25', 631, 28, 0.21, 22.54, 132.51, 180.05], [8, 'Family_8', 810, 30, 0.28, 27.0, 226.8, 261.8], [23, 'Family_23', 805, 30, 0.3, 26.83, 241.5, 291.33], [14, 'Family_14', 899, 25, 0.34, 35.96, 305.66, 355.62], [15, 'Family_15', 862, 27, 0.28, 31.93, 241.36, 288.29]]",0.0,0.694,0.781,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `id` + `avg_daily_kwh` + `total_cost` DESC LIMIT 5,"Compute the sum of the columns id, avg_daily_kwh, total_cost for each row in `energy_consumption`. Sort all rows in descending order by this sum and return the first 5 rows.","[[12, 'Family_12', 2311, 25, 0.34, 92.44, 785.74, 890.18], [16, 'Family_16', 2032, 32, 0.35, 63.5, 711.2, 790.7], [6, 'Family_6', 1762, 31, 0.33, 56.84, 581.46, 644.3], [22, 'Family_22', 1910, 27, 0.29, 70.74, 553.9, 646.64], [7, 'Family_7', 2064, 33, 0.2, 62.55, 412.8, 482.35]]",0.0,0.875,1.0,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `household_name` + `kwh_used` + `avg_daily_kwh` ASC LIMIT 5,"Compute the sum of the columns household_name, kwh_used, avg_daily_kwh for each row in `energy_consumption`. Sort all rows in ascending order by this sum and return the first 5 rows.","[[25, 'Family_25', 631, 28, 0.21, 22.54, 132.51, 653.54], [8, 'Family_8', 810, 30, 0.28, 27, 226.8, 837], [23, 'Family_23', 805, 30, 0.3, 26.83, 241.5, 831.83], [18, 'Family_18', 849, 31, 0.33, 27.39, 280.17, 876.39], [1, 'Family_1', 987, 33, 0.28, 29.91, 276.36, 1016.91]]",0.0,0.711,0.844,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT * FROM `energy_consumption` ORDER BY `household_name` + `kwh_used` + `avg_daily_kwh` DESC LIMIT 5,"Compute the sum of the columns household_name, kwh_used, avg_daily_kwh for each row in `energy_consumption`. Sort all rows in descending order by this sum and return the first 5 rows.","[[7, 'Family_7', 2064, 33, 0.2, 62.55, 412.8, 2126.55], [16, 'Family_16', 2032, 32, 0.35, 63.5, 711.2, 2095.5], [12, 'Family_12', 2311, 25, 0.34, 92.44, 785.74, 2403.44], [22, 'Family_22', 1910, 27, 0.29, 70.74, 553.9, 1980.74], [6, 'Family_6', 1762, 31, 0.33, 56.84, 581.46, 1818.84]]",0.0,0.875,1.0,0,1.0,0.0,0.5
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT `id` FROM `energy_consumption` ORDER BY `id` ASC LIMIT 5,Select only the column `id` from `energy_consumption`. Sort it in ascending order and return the first 5 values.,"[[1], [2], [3], [4], [5]]",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT `id` FROM `energy_consumption` ORDER BY `id` DESC LIMIT 5,Select only the column `id` from `energy_consumption`. Sort it in descending order and return the first 5 values.,"[[25], [24], [23], [22], [21]]",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT `avg_daily_kwh` FROM `energy_consumption` ORDER BY `avg_daily_kwh` ASC LIMIT 5,Select only the column `avg_daily_kwh` from `energy_consumption`. Sort it in ascending order and return the first 5 values.,"[[22.54], [26.83], [27.0], [27.39], [29.91]]",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT `avg_daily_kwh` FROM `energy_consumption` ORDER BY `avg_daily_kwh` DESC LIMIT 5,Select only the column `avg_daily_kwh` from `energy_consumption`. Sort it in descending order and return the first 5 values.,"[[92.44], [70.74], [63.5], [62.55], [56.84]]",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT `kwh_used` FROM `energy_consumption` ORDER BY `kwh_used` ASC LIMIT 5,Select only the column `kwh_used` from `energy_consumption`. Sort it in ascending order and return the first 5 values.,"[[631], [805], [810], [849], [862]]",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT `kwh_used` FROM `energy_consumption` ORDER BY `kwh_used` DESC LIMIT 5,Select only the column `kwh_used` from `energy_consumption`. Sort it in descending order and return the first 5 values.,"[[2311], [2064], [2032], [1910], [1762]]",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-4o_mini,data/db_numerical_simple.sqlite,energy_consumption,SELECT `household_name` FROM `energy_consumption` ORDER BY `household_name` ASC LIMIT 5,Select only the column `household_name` from `energy_consumption`. Sort it in ascending order and return the first 5 values.,"[['Family_1'], ['Family_10'], ['Family_11'], ['Family_12'], ['Family_13']]",0.0,1.0,1.0,1,1.0,1.0,1.0
