model,execution_type,db_path,table,sql_query,question,result,valid_efficiency_score,cell_precision,cell_recall,execution_accuracy,tuple_cardinality,tuple_constraint,tuple_order
GPT-4o-mini,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Habitat` ASC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Habitat` in ascending order.","[['Savane africane', 'Mammifero', 'Savane africane', 70, 6000.0], ['Leone', 'Mammifero', 'Savane', 14, 190.0], ['Giraffa', 'Mammifero', 'Savane', 25, 1200.0], ['Rinoceronte bianco', 'Mammifero', 'Savane africane', 50, 2400.0], ['Canguro rosso', 'Mammifero', 'Deserti australiani', 23, 85.0]]",0.0,0.333,0.261,0,1.0,0.2,1.0
GPT-4o-mini,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Habitat` ASC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Habitat` in ascending order.","[['Savane africane', 'Mammifero', 'Savane africane', 70, 6000.0], ['Leone', 'Mammifero', 'Savane', 14, 190.0], ['Giraffa', 'Mammifero', 'Savane', 25, 1200.0], ['Rinoceronte bianco', 'Mammifero', 'Savane africane', 50, 2400.0], ['Canguro rosso', 'Mammifero', 'Deserti australiani', 23, 85.0]]",0.0,0.333,0.261,0,1.0,0.2,1.0
GPT-4o-mini,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Habitat` ASC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Habitat` in ascending order.","[['Savane africane', 'Mammifero', 'Savane africane', 70, 6000.0], ['Leone', 'Mammifero', 'Savane', 14, 190.0], ['Giraffa', 'Mammifero', 'Savane', 25, 1200.0], ['Rinoceronte bianco', 'Mammifero', 'Savane africane', 50, 2400.0], ['Canguro rosso', 'Mammifero', 'Deserti australiani', 23, 85.0]]",0.0,0.333,0.261,0,1.0,0.2,1.0
GPT-4o-mini,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Habitat` ASC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Habitat` in ascending order.","[['Savane africane', 'Mammifero', 'Savane africane', 70, 6000.0], ['Leone', 'Mammifero', 'Savane', 14, 190.0], ['Giraffa', 'Mammifero', 'Savane', 25, 1200.0], ['Rinoceronte bianco', 'Mammifero', 'Savane africane', 50, 2400.0], ['Canguro rosso', 'Mammifero', 'Deserti australiani', 23, 85.0]]",0.0,0.333,0.261,0,1.0,0.2,1.0
GPT-4o-mini,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Habitat` ASC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Habitat` in ascending order.","[['Savane africane', 'Mammifero', 'Savane africane', 70, 6000.0], ['Leone', 'Mammifero', 'Savane', 14, 190.0], ['Giraffa', 'Mammifero', 'Savane', 25, 1200.0], ['Rinoceronte bianco', 'Mammifero', 'Savane africane', 50, 2400.0], ['Canguro rosso', 'Mammifero', 'Deserti australiani', 23, 85.0]]",0.0,0.333,0.261,0,1.0,0.2,1.0
GPT-4o-mini,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Habitat` ASC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Habitat` in ascending order.","[['Savane africane', 'Mammifero', 'Savane africane', 70, 6000.0], ['Leone', 'Mammifero', 'Savane', 14, 190.0], ['Giraffa', 'Mammifero', 'Savane', 25, 1200.0], ['Rinoceronte bianco', 'Mammifero', 'Savane africane', 50, 2400.0], ['Canguro rosso', 'Mammifero', 'Deserti australiani', 23, 85.0]]",0.0,0.333,0.261,0,1.0,0.2,1.0
GPT-4o-mini,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Habitat` DESC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Habitat` in descending order.","[['Pinguino imperatore', 'Uccello', 'Antartide', 20, 30.0], ['Orso polare', 'Mammifero', 'Artico', 25, 450.0], ['Albatros urlatore', 'Uccello', 'Oceani', 50, 11.0], ['Balena azzurra', 'Mammifero', 'Oceani', 90, 140000.0], ['Squalo bianco', 'Pesce', 'Oceani', 70, 1100.0]]",0.0,0.238,0.263,0,1.0,0.0,0.5
GPT-4o-mini,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Peso medio (kg)` ASC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Peso medio (kg)` in ascending order.","[['Cavalluccio marino', 'Pesce', 'Barriere coralline', 4, 0.05], ['Camaleonte pantera', 'Rettile', 'Foreste del Madagascar', 5, 0.2], ['Pappagallo ara', 'Uccello', 'Foreste pluviali', 50, 1.2], ['Falco pellegrino', 'Uccello', 'Falesie e aree urbane', 15, 1.0], ['Aquila reale', 'Uccello', 'Montagne', 25, 6.0]]",0.0,1.0,1.0,1,1.0,1.0,0.95
GPT-4o-mini,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Peso medio (kg)` DESC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Peso medio (kg)` in descending order.","[['Balena azzurra', 'Mammifero', 'Oceani', 90, 140000.0], ['Elefante africano', 'Mammifero', 'Savane africane', 70, 6000.0], ['Ippopotamo', 'Mammifero', 'Fiumi africani', 40, 1500.0], ['Giraffa', 'Mammifero', 'Savane', 25, 1200.0], ['Squalo bianco', 'Pesce', 'Oceani', 70, 1100.0]]",0.0,0.85,0.85,0,1.0,0.8,1.0
GPT-4o-mini,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Durata vita media` ASC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Durata vita media` in ascending order.","[['Cavalluccio marino', 'Pesce', 'Barriere coralline', 4, 0.05], ['Camaleonte pantera', 'Rettile', 'Foreste del Madagascar', 5, 0.2], ['Falco pellegrino', 'Uccello', 'Falesie e aree urbane', 15, 1.0], ['Tigre del Bengala', 'Mammifero', 'Foreste', 15, 220.0], ['Leone', 'Mammifero', 'Savane', 14, 190.0]]",0.0,0.652,0.652,0,1.0,0.6,1.0
GPT-4o-mini,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Durata vita media` DESC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Durata vita media` in descending order.","[['Tartaruga gigante', 'Rettile', 'Isole Galápagos', 100, 250.0], ['Balena azzurra', 'Mammifero', 'Oceani', 90, 140000.0], ['Elefante africano', 'Mammifero', 'Savane africane', 70, 6000.0], ['Coccodrillo del Nilo', 'Rettile', 'Fiumi e laghi', 70, 500.0], ['Squalo bianco', 'Pesce', 'Oceani', 70, 1100.0]]",0.0,1.0,1.0,1,1.0,1.0,1.0
GPT-4o-mini,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Nome` ASC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Nome` in ascending order.","[['Albatros urlatore', 'Uccello', 'Oceani', 50, 11.0], ['Aquila reale', 'Uccello', 'Montagne', 25, 6.0], ['Balena azzurra', 'Mammifero', 'Oceani', 90, 140000.0], ['Canguro rosso', 'Mammifero', 'Deserti australiani', 23, 85.0], ['Camaleonte pantera', 'Rettile', 'Foreste del Madagascar', 5, 0.2]]",0.0,1.0,1.0,1,1.0,1.0,0.95
GPT-4o-mini,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Nome` DESC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Nome` in descending order.","[['Tigre del Bengala', 'Mammifero', 'Foreste', 15, 220.0], ['Tartaruga gigante', 'Rettile', 'Isole Galápagos', 100, 250.0], ['Squalo bianco', 'Pesce', 'Oceani', 70, 1100.0], ['Pitone reticolato', 'Rettile', 'Foreste tropicali', 20, 75.0], ['Pinguino imperatore', 'Uccello', 'Antartide', 20, 30.0]]",0.0,0.826,0.826,0,1.0,0.8,1.0
