model,execution_type,db_path,table,sql_query,question,result,tables_used,valid_efficiency_score,cell_precision,cell_recall,execution_accuracy,tuple_cardinality,tuple_constraint,tuple_order
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,albums,SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`album_id` ASC LIMIT 5,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `album_id` in ascending order.","[[1, 'Million Dollar Baby - Single', '26-04-2024', 1, 'Tommy Richman', '21-03-2000'], [2, 'Not Like Us', '04-05-2024', 2, 'Kendrick Lamar', '17-06-1987'], [3, 'I like the way you kiss me', '19-03-2024', 3, 'Artemas', '23-09-1999'], [4, 'Flowers - Single', '12-01-2023', 4, 'Miley Cyrus', '23-11-1992'], [5, 'Houdini', '31-05-2024', 5, 'Eminem', '17-10-1972']]","['artists', 'albums']",0.0,1.0,1.0,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,albums,SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`album_id` DESC LIMIT 5,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `album_id` in descending order.","[[75, 'Laxed (Siren Beat)', '24-04-2020', 67, 'Dave', '01-01-1991'], [74, 'un x100to', '17-04-2023', 66, 'Jawsh 685', '01-01-1991'], [73, '21 Savage', '22-10-1992', 73, '21 Savage', '22-10-1992'], [72, 'Old Town Road', '14-03-2019', 65, 'Grupo Frontera', '08-06-2022'], [71, 'The Way We Move', '10-03-2023', 64, 'Lil Nas X', '09-04-1999']]","['artists', 'albums']",0.0,0.846,0.759,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,albums,SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`title` ASC LIMIT 5,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `title` in ascending order.","[[14, ""WE DON'T TRUST YOU"", '22-03-2024', 14, 'Future', '20-11-1983'], [36, 'Lose Control', '23-06-2023', 12, 'Teddy Swims', '25-09-1992'], [29, 'ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ - ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ -', '09-06-2024', 9, 'MUSIC LAB JPN', '01-01-1990'], [26, 'ÿÿÿÿÿÿÿÿÿÿ ÿÿÿÿÿÿÿ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ', '01-12-2015', 26, 'Ariana Grande', '26-06-1993'], [30, 'BABYMONS7ER', '01-04-2024', 30, 'Tyla', '01-01-2000']]","['artists', 'albums']",0.0,0.148,0.143,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,albums,SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`title` DESC LIMIT 5,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `title` in descending order.","[[13, ""WE DON'T TRUST YOU"", '22-03-2024', 14, 'Future', '20-11-1983'], [16, 'THE TORTURED POETS DEPARTMENT', '18-04-2024', 17, 'Taylor Swift', '13-12-1989'], [11, 'The Door', '14-06-2024', 12, 'Teddy Swims', '25-09-1992'], [71, 'The Way We Move', '10-03-2023', 64, 'Lil Nas X', '09-04-1999'], [18, 'As It Was', '31-03-2022', 19, 'Doja Cat', '21-10-1995']]","['artists', 'albums']",0.0,0.033,0.037,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,albums,SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`release_date (dd-mm-yyyy)` ASC LIMIT 5,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `release_date (dd-mm-yyyy)` in ascending order.","[[72, 'Old Town Road', '14-03-2019', 65, 'Grupo Frontera', '08-06-2022'], [38, 'Dance Monkey', '10-05-2019', 37, 'sped up 8282', '2000-01-01'], [74, 'Laxed (Siren Beat)', '24-04-2020', 75, 'Lil Durk', '19-10-1992'], [68, 'Heat Waves', '29-06-2020', 61, 'Linkin Park', '01-01-1996'], [25, 'STAY (with Justin Bieber)', '09-07-2021', 25, 'Pinkfong', '2010-01-01']]","['artists', 'albums']",0.0,0.034,0.037,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,albums,SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`release_date (dd-mm-yyyy)` DESC LIMIT 5,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `release_date (dd-mm-yyyy)` in descending order.","[[1, 'Million Dollar Baby - Single', '26-04-2024', 1, 'Tommy Richman', '21-03-2000'], [4, 'Flowers - Single', '12-01-2023', 4, 'Miley Cyrus', '23-11-1992'], [5, 'Houdini', '31-05-2024', 5, 'Eminem', '17-10-1972'], [6, 'Lovin On Me', '10-11-2023', 6, 'Jack Harlow', '13-03-1998'], [7, 'Beautiful Things', '18-01-2024', 7, 'Benson Boone', '01-06-1934']]","['artists', 'albums']",0.0,0.2,0.192,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,albums,SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`artist_id` ASC LIMIT 5,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `artist_id` in ascending order.","[[1, 'Million Dollar Baby - Single', '26-04-2024', 1, 'Tommy Richman', '21-03-2000'], [2, 'Not Like Us', '04-05-2024', 2, 'Kendrick Lamar', '17-06-1987'], [3, 'I like the way you kiss me', '19-03-2024', 3, 'Artemas', '23-09-1999'], [4, 'Flowers - Single', '12-01-2023', 4, 'Miley Cyrus', '23-11-1992'], [5, 'Houdini', '31-05-2024', 5, 'Eminem', '17-10-1972']]","['artists', 'albums']",0.0,0.8,0.87,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,albums,SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`artist_id` DESC LIMIT 5,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `artist_id` in descending order.","[[75, 'Laxed (Siren Beat)', '24-04-2020', 75, 'Lil Durk', '19-10-1992'], [74, 'un x100to', '17-04-2023', 74, 'Adele', '05-05-1988'], [73, '17-04-2023', '17-04-2023', 73, '21 Savage', '22-10-1992'], [72, 'Old Town Road', '14-03-2019', 72, 'Yng Lvcas', '01-01-2017'], [71, 'The Way We Move', '10-03-2023', 71, 'Eslabon Armado', '01-01-2017']]","['artists', 'albums']",0.0,0.591,0.448,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,albums,SELECT T1.`album_id` FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`album_id` ASC LIMIT 5,"Join `albums` and `artists` on `artist_id`, select only the column `album_id`, sort it in ascending order, and return the top 5 rows.","[[1], [2], [3], [4], [5]]","['artists', 'albums']",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,albums,SELECT T1.`album_id` FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`album_id` DESC LIMIT 5,"Join `albums` and `artists` on `artist_id`, select only the column `album_id`, sort it in descending order, and return the top 5 rows.","[[75], [74], [73], [72], [71]]","['artists', 'albums']",0.0,1.0,1.0,1,1.0,1.0,1.0
