db_path,table_name,test_category,query,model,AI_answer,SQL_query,failed_attempts,execution_type,valid_efficiency_score,cell_precision,cell_recall,execution_accuracy,tuple_cardinality,tuple_constraint,tuple_order,num_tables,total_columns,total_rows,total_numeric_columns,total_categorical_columns,avg_columns_per_table,avg_rows_per_table,avg_numeric_categorical_ratio,avg_unique_vals,max_unique_vals,avg_data_sparsity,num_columns,num_rows,num_numeric_columns,num_categorical_columns,numeric_categorical_ratio,num_selected_columns,num_order_columns,limit_value,syntax_complexity,has_where,has_group_by,has_having,has_order_by,has_limit,has_distinct,has_join,has_subquery,has_union,has_aggregation,query_complexity,text_length,num_tokens,num_words,num_nouns,num_verbs,num_adjectives,num_entities,num_clauses,avg_sentence_length,keyword_score,semantic_complexity,token_prompt_count
data/db_music_cut_300.sqlite,albums,ORDERBY-SINGLE,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `album_id` in ascending order.",gemini-2.5-pro,"[[1, 'Million Dollar Baby - Single', '26-04-2024', 1, 'Tommy Richman', '21-03-2000'], [2, 'Not Like Us', '04-05-2024', 2, 'Kendrick Lamar', '17-06-1987'], [3, 'I like the way you kiss me', '19-03-2024', 3, 'Artemas', '23-09-1999'], [4, 'Flowers - Single', '12-01-2023', 4, 'Miley Cyrus', '23-11-1992'], [5, 'Houdini', '31-05-2024', 5, 'Eminem', '17-10-1972']]",SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`album_id` ASC LIMIT 5,0,normal,0.0,1.0,1.0,0.0,1.0,0.0,0.5,1,4,75,2,2,4.0,75.0,1.0,71.25,75,0.0,4,75,2,2,1.0,4,2,5.0,13.6,False,False,False,True,True,False,True,False,False,False,0.3753364757061005,146,34,21,8,4,1,2,0,34.0,4,0.4684118926525116,2784
data/db_music_cut_300.sqlite,albums,ORDERBY-SINGLE,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `album_id` in descending order.",gemini-2.5-pro,"[[75, 'Laxed (Siren Beat)', '24-04-2020', 67, 'Dave', '01-01-1991'], [74, 'un x100to', '17-04-2023', 65, 'Grupo Frontera', '08-06-2022'], [73, 'Old Town Road', '14-03-2019', 64, 'Lil Nas X', '09-04-1999'], [72, 'The Way We Move', '10-03-2023', 63, 'PowerDress', '01-01-2023'], [71, 'Shakira: Bzrp Music Sessions, Vol. 53', '11-01-2023', 62, 'Bizarrap', '29-08-1998']]",SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`album_id` DESC LIMIT 5,0,normal,0.0,0.867,0.897,0.0,1.0,0.0,0.5,1,4,75,2,2,4.0,75.0,1.0,71.25,75,0.0,4,75,2,2,1.0,4,2,5.0,13.6,False,False,False,True,True,False,True,False,False,False,0.3756118611812592,147,34,21,8,4,1,2,0,34.0,4,0.4727965295314789,2784
data/db_music_cut_300.sqlite,albums,ORDERBY-SINGLE,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `title` in ascending order.",gemini-2.5-pro,"[[62, '400 Degreez (Deluxe Edition)', '29-03-2024', 56, 'JUVENILE', '25-03-1975'], [35, 'A Bar Song (Tipsy)', '12-04-2024', 34, 'Shaboozey', '09-05-1995'], [18, 'As It Was', '31-03-2022', 18, 'Harry Styles', '01-02-1994'], [30, 'BABYMONS7ER', '01-04-2024', 29, 'BABYMONSTER', '30-12-2022'], [9, 'BAND4BAND (feat. Lil Baby)', '23-05-2024', 9, 'Central Cee', '04-06-1998']]",SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`title` ASC LIMIT 5,0,normal,0.0,0.75,0.75,0.0,1.0,0.0,0.5,1,4,75,2,2,4.0,75.0,1.0,71.25,75,0.0,4,75,2,2,1.0,4,2,5.0,13.6,False,False,False,True,True,False,True,False,False,False,0.3792755222797394,143,34,22,9,4,1,1,0,34.0,4,0.4493880569934845,2783
data/db_music_cut_300.sqlite,albums,ORDERBY-SINGLE,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `title` in descending order.",gemini-2.5-pro,"[[29, 'ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý', '14-05-2024', 29, 'BABYMONSTER', '30-12-2022'], [8, 'ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -', '09-06-2024', 9, 'Central Cee', '04-06-1998'], [26, 'ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý', '01-12-2015', 26, 'Ariana Grande', '26-06-1993'], [56, 'YOUGAKU MORIMORI CLUB MEDLEY', '29-04-2024', 9, 'Central Cee', '04-06-1998'], [34, ""What's Love Got to Do with It (30th Anniversary Deluxe Edition)"", '26-04-2024', 34, 'Shaboozey', '09-05-1995']]",SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`title` DESC LIMIT 5,0,normal,0.0,0.333,0.296,0.0,1.0,0.0,0.5,1,4,75,2,2,4.0,75.0,1.0,71.25,75,0.0,4,75,2,2,1.0,4,2,5.0,13.6,False,False,False,True,True,False,True,False,False,False,0.3794375325679779,144,34,22,9,4,1,1,0,34.0,4,0.4509383141994476,2783
data/db_music_cut_300.sqlite,albums,ORDERBY-ADVANCED,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `release_date (dd-mm-yyyy)` in ascending order.",gemini-2.5-pro,"[[26, 'ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý', '01-12-2015', 26, 'Ariana Grande', '26-06-1993'], [51, 'Shape of You', '06-01-2017', 46, 'Ed Sheeran', '17-02-1991'], [47, 'Despacito (Featuring Daddy Yankee)', '13-01-2017', 43, 'Luis Fonsi', '15-04-1978'], [72, 'Old Town Road', '14-03-2019', 64, 'Lil Nas X', '09-04-1999'], [38, 'Dance Monkey', '10-05-2019', 36, 'Tones And I', '13-05-1998']]",SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`release_date (dd-mm-yyyy)` ASC LIMIT 5,0,normal,0.0,0.138,0.148,0.0,1.0,0.0,0.5,1,4,75,2,2,4.0,75.0,1.0,71.25,75,0.0,4,75,2,2,1.0,4,5,5.0,14.7,False,False,False,True,True,False,True,False,False,False,0.4066669397830963,163,41,24,10,4,2,1,0,41.0,4,0.4341734945774078,2788
data/db_music_cut_300.sqlite,albums,ORDERBY-ADVANCED,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `release_date (dd-mm-yyyy)` in descending order.",gemini-2.5-pro,"[[11, 'The Door', '14-06-2024', 12, 'Billie Eilish', '18-12-2001'], [9, 'ýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýý -', '09-06-2024', 9, 'MUSIC LAB JPN', '01-01-2024'], [43, 'Please Please Please', '06-06-2024', 41, 'Dua Lipa', '22-08-1995'], [58, 'Stereo Love Deluxe (feat. Vika Jigulina)', '05-06-2024', 52, 'Edward Maya', '29-06-1986'], [55, 'Dona Felicidade', '04-06-2024', 50, 'Patati Patatï¿½', '01-01-2021']]",SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`release_date (dd-mm-yyyy)` DESC LIMIT 5,0,normal,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1,4,75,2,2,4.0,75.0,1.0,71.25,75,0.0,4,75,2,2,1.0,4,5,5.0,14.7,False,False,False,True,True,False,True,False,False,False,0.406866105222702,164,41,24,10,4,2,1,0,41.0,4,0.4366526305675506,2788
data/db_music_cut_300.sqlite,albums,ORDERBY-SINGLE,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `artist_id` in ascending order.",gemini-2.5-pro,"[[1, 'Million Dollar Baby - Single', '26-04-2024', 1, 'Tommy Richman', '21-03-2000'], [2, 'Not Like Us', '04-05-2024', 2, 'Kendrick Lamar', '17-06-1987'], [49, 'Panda Basi - EP', '10-02-2023', 2, 'Kendrick Lamar', '17-06-1987'], [3, 'I like the way you kiss me', '19-03-2024', 3, 'Artemas', '23-09-1999'], [4, 'Flowers - Single', '12-01-2023', 4, 'Miley Cyrus', '23-11-1992']]",SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`artist_id` ASC LIMIT 5,0,normal,0.0,0.913,0.913,0.0,1.0,0.0,0.5,1,4,75,2,2,4.0,75.0,1.0,71.25,75,0.0,4,75,2,2,1.0,4,2,5.0,13.6,False,False,False,True,True,False,True,False,False,False,0.3749492434978485,147,34,21,8,4,1,1,0,34.0,4,0.4562310874462127,2784
data/db_music_cut_300.sqlite,albums,ORDERBY-SINGLE,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `artist_id` in descending order.",gemini-2.5-pro,"[[75, 'Laxed (Siren Beat)', '24-04-2020', 67, 'Dave', '01-01-1991'], [74, 'un x100to', '17-04-2023', 66, 'Jawsh 685', '05-11-2002'], [73, 'Old Town Road', '14-03-2019', 65, 'Grupo Frontera', '08-06-2022'], [72, 'The Way We Move', '10-03-2023', 64, 'Lil Nas X', '09-04-1999'], [71, 'Shakira: Bzrp Music Sessions, Vol. 53', '11-01-2023', 63, 'PowerDress', '01-01-2015']]",SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`artist_id` DESC LIMIT 5,0,normal,0.0,0.867,0.897,0.0,1.0,0.0,0.5,1,4,75,2,2,4.0,75.0,1.0,71.25,75,0.0,4,75,2,2,1.0,4,2,5.0,13.6,False,False,False,True,True,False,True,False,False,False,0.3752115993976593,148,34,21,8,4,1,1,0,34.0,4,0.4602899849414825,2784
data/db_music_cut_300.sqlite,albums,ORDERBY-PROJECT,"Join `albums` and `artists` on `artist_id`, select only the column `album_id`, sort it in ascending order, and return the top 5 rows.",gemini-2.5-pro,"[[1], [2], [3], [4], [5]]",SELECT T1.`album_id` FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`album_id` ASC LIMIT 5,0,normal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4,75,2,2,4.0,75.0,1.0,71.25,75,0.0,4,75,2,2,1.0,1,2,5.0,12.1,False,False,False,True,True,False,True,False,False,False,0.3977074161052704,133,34,19,5,5,1,3,1,34.0,4,0.4351854026317596,2783
data/db_music_cut_300.sqlite,albums,ORDERBY-PROJECT,"Join `albums` and `artists` on `artist_id`, select only the column `album_id`, sort it in descending order, and return the top 5 rows.",gemini-2.5-pro,"[[75], [74], [73], [72], [71]]",SELECT T1.`album_id` FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`album_id` DESC LIMIT 5,0,normal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4,75,2,2,4.0,75.0,1.0,71.25,75,0.0,4,75,2,2,1.0,1,2,5.0,12.1,False,False,False,True,True,False,True,False,False,False,0.3979256907939911,134,34,19,5,5,1,3,1,34.0,4,0.4381422698497772,2783
