Titolo,Anno,Regista,Genere,Durata,Oscar vinti
Il Padrino,1972,Francis Ford Coppola,Drammatico,175,3
Titanic,1997,James Cameron,Romantico,195,11
Forrest Gump,1994,Robert Zemeckis,Drammatico,142,6
Il Signore degli Anelli: Il ritorno del re,2003,Peter Jackson,Fantasy,201,11
Pulp Fiction,1994,Quentin Tarantino,Crime,154,1
Schindler's List,1993,Steven Spielberg,Storico,195,7
Inception,2010,Christopher Nolan,Sci-Fi,148,4
La La Land,2016,Damien Chazelle,Musical,128,6
Gladiator,2000,Ridley Scott,Storico,155,5
The Departed,2006,Martin Scorsese,Crime,151,4
Parasite,2019,Bong Joon-ho,Thriller,132,4
Casablanca,1942,Michael Curtiz,Romantico,102,3
The Shape of Water,2017,Guillermo del Toro,Fantasy,123,4
No Country for Old Men,2007,Ethan & Joel Coen,Thriller,122,4
Chicago,2002,Rob Marshall,Musical,113,6
The English Patient,1996,Anthony Minghella,Romantico,162,9
Slumdog Millionaire,2008,Danny Boyle,Drammatico,120,8
Argo,2012,Ben Affleck,Thriller,120,3
Birdman,2014,Alejandro G. Iñárritu,Commedia Drammatica,119,4
American Beauty,1999,Sam Mendes,Drammatico,122,5
The Godfather Part II,1974,Francis Ford Coppola,Drammatico,202,6
The Silence of the Lambs,1991,Jonathan Demme,Thriller,118,5
12 Years a Slave,2013,Steve McQueen,Storico,134,3
The Artist,2011,Michel Hazanavicius,Commedia Drammatica,100,5
Million Dollar Baby,2004,Clint Eastwood,Drammatico,132,4
