name,country,height_m,year_built,material
Colosseum,Italy,48.0,80,travertine
Leaning Tower of Pisa,Italy,56.7,1173,marble
Eiffel Tower,France,330.0,1889,iron
Statue of Liberty,USA,93.0,1886,copper
Christ the Redeemer,Brazil,38.0,1931,reinforced concrete
Great Wall,China,7.8,-221,stone
Taj Mahal,India,73.0,1643,marble
Big Ben,United Kingdom,96.0,1859,stone
Great Pyramid of Giza,Egypt,138.8,-2560,limestone
Petra,Jordan,40.0,-300,sandstone
Machu Picchu,Peru,2430.0,1450,stone
Stonehenge,United Kingdom,4.0,-2500,sarsen
Angkor Wat,Cambodia,65.0,1150,sandstone
Moai (Easter Island),Chile,4.0,1250,tuff
Neuschwanstein Castle,Germany,65.0,1886,stone
Sagrada Familia,Spain,172.5,1882,stone
Acropolis of Athens,Greece,156.0,-447,marble
Alhambra,Spain,26.0,1333,stone
Saint Basil's Cathedral,Russia,65.0,1561,brick
Giotto's Campanile,Italy,84.7,1359,marble
Edinburgh Castle,United Kingdom,135.0,1103,stone
Himeji Castle,Japan,46.0,1333,wood
Milan Cathedral,Italy,108.5,1386,marble
Capitol Hill,USA,88.0,1800,sandstone
Sydney Opera House,Australia,65.0,1973,concrete
Burj Khalifa,United Arab Emirates,828.0,2010,steel
Atomium,Belgium,102.0,1958,steel
Leaning Tower of Torun,Poland,15.0,1274,brick
Mount Rushmore,USA,18.0,1941,granite
CN Tower,Canada,553.3,1976,reinforced concrete
