db_path,table_name,test_category,query,model,AI_answer,SQL_query,failed_attempts,execution_type,valid_efficiency_score,cell_precision,cell_recall,execution_accuracy,tuple_cardinality,tuple_constraint,tuple_order,token_prompt_count,num_tables,total_columns,total_rows,total_numeric_columns,total_categorical_columns,avg_columns_per_table,avg_rows_per_table,avg_numeric_categorical_ratio,avg_unique_vals,max_unique_vals,avg_data_sparsity,num_columns,num_rows,num_numeric_columns,num_categorical_columns,numeric_categorical_ratio,num_selected_columns,num_order_columns,limit_value,syntax_complexity,has_where,has_group_by,has_having,has_order_by,has_limit,has_distinct,has_join,has_subquery,has_union,has_aggregation,text_length,num_tokens,num_words,num_nouns,num_verbs,num_adjectives,num_entities,num_clauses,avg_sentence_length,keyword_score,semantic_complexity,query_complexity
data/db_music.sqlite,albums,ORDERBY-SINGLE,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `album_id` in ascending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[[0, 'Million Dollar Baby - Single', '26-04-2024', 1, 'Tommy Richman', '21-03-2000'], [1, 'Not Like Us', '04-05-2024', 2, 'Kendrick Lamar', '17-06-1987'], [2, 'I like the way you kiss me', '19-03-2024', 3, 'Artemas', '23-09-1999'], [3, 'Flowers - Single', '12-01-2023', 4, 'Miley Cyrus', '23-11-1992'], [4, 'Houdini', '31-05-2024', 5, 'Eminem', '17-10-1972']]",SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`album_id` ASC LIMIT 5,0,,0.0,0,0,0,0,0,0,129638,1.0,4.0,4110.0,2.0,2.0,4.0,4110.0,1.0,2916.5,4110.0,0.0,4.0,4110.0,2.0,2.0,1.0,4.0,2.0,5.0,7.2,False,False,False,True,True,False,True,False,False,False,146.0,38.0,21.0,8.0,4.0,1.0,2.0,0.0,34.0,4.0,0.5009587407112122,
data/db_music.sqlite,albums,ORDERBY-SINGLE,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `album_id` in descending order.",meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[[4110, 'Me Acostumbre (feat. Bad Bunny)', '11-04-2017', 420, 'Boy Spyce', '01-01-2001'], [4109, 'November Top 10 Songs', '08-11-2016', 406, 'Coldplay', '01-09-1996'], [4108, 'Dil Meri Na Sune (From ""Genius"")', '27-07-2018', 1339, 'Tom Grennan', '08-06-1995'], [4107, 'For the Last Time', '05-09-2017', 798, 'Dhvani Bhanushali', '22-03-1998'], [4106, 'ýýýýýýýýýýýý (ýýýýýýýýýýýýýý ýýýýýýýýýýýý) [prod. by wex & heysubr]', '03-05-2024', 2000, 'Lil Boo Thang', 'Unknown']]",SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`album_id` DESC LIMIT 5,0,,0.0,0,0,0,0,0,0,129638,1.0,4.0,4110.0,2.0,2.0,4.0,4110.0,1.0,2916.5,4110.0,0.0,4.0,4110.0,2.0,2.0,1.0,4.0,2.0,5.0,7.2,False,False,False,True,True,False,True,False,False,False,147.0,38.0,21.0,8.0,4.0,1.0,2.0,0.0,34.0,4.0,0.5011709332466125,
data/db_music.sqlite,albums,ORDERBY-SINGLE,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `title` in ascending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,[],SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`title` ASC LIMIT 5,0,,0.0,0,0,0,0,0,0,129637,1.0,4.0,4110.0,2.0,2.0,4.0,4110.0,1.0,2916.5,4110.0,0.0,4.0,4110.0,2.0,2.0,1.0,4.0,2.0,5.0,7.2,False,False,False,True,True,False,True,False,False,False,143.0,36.0,22.0,9.0,4.0,1.0,1.0,0.0,34.0,4.0,0.4971853494644165,
data/db_music.sqlite,albums,ORDERBY-SINGLE,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `title` in descending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[[1, 'Unknown Album Title', '26-04-2024', 1, 'Tommy Richman', '21-03-2000'], [2, 'Unknown Album Title', '04-05-2024', 2, 'Kendrick Lamar', '17-06-1987'], [3, 'Unknown Album Title', '19-03-2024', 3, 'Artemas', '23-09-1999'], [4, 'Unknown Album Title', '12-01-2023', 4, 'Miley Cyrus', '23-11-1992'], [5, 'Unknown Album Title', '31-05-2024', 5, 'Eminem', '17-10-1972']]",SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`title` DESC LIMIT 5,0,,0.0,0,0,0,0,0,0,129637,1.0,4.0,4110.0,2.0,2.0,4.0,4110.0,1.0,2916.5,4110.0,0.0,4.0,4110.0,2.0,2.0,1.0,4.0,2.0,5.0,7.2,False,False,False,True,True,False,True,False,False,False,144.0,36.0,22.0,9.0,4.0,1.0,1.0,0.0,34.0,4.0,0.4958672523498535,
data/db_music.sqlite,albums,ORDERBY-ADVANCED,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `release_date (dd-mm-yyyy)` in ascending order.",meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[[1, 'Million Dollar Baby - Single', '01-01-1900', 1, 'Tommy Richman', '21-03-2000'], [2, 'Not Like Us', '01-01-1900', 2, 'Kendrick Lamar', '17-06-1987'], [3, 'I like the way you kiss me', '01-01-1900', 3, 'Artemas', '23-09-1999'], [4, 'Flowers - Single', '01-01-1900', 4, 'Miley Cyrus', '23-11-1992'], [5, 'Houdini', '01-01-1900', 5, 'Eminem', '17-10-1972']]",SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`release_date (dd-mm-yyyy)` ASC LIMIT 5,0,,0.0,0,0,0,0,0,0,129642,1.0,4.0,4110.0,2.0,2.0,4.0,4110.0,1.0,2916.5,4110.0,0.0,4.0,4110.0,2.0,2.0,1.0,4.0,5.0,5.0,8.7,False,False,False,True,True,False,True,False,False,False,163.0,48.0,24.0,10.0,4.0,2.0,1.0,0.0,41.0,4.0,0.5029905438423157,
data/db_music.sqlite,albums,ORDERBY-ADVANCED,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `release_date (dd-mm-yyyy)` in descending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[[1, 'Million Dollar Baby - Single', '01-01-1900', 1, 'Tommy Richman', '21-03-2000'], [2, 'Not Like Us', '01-01-1900', 2, 'Kendrick Lamar', '17-06-1987'], [3, 'I like the way you kiss me', '01-01-1900', 3, 'Artemas', '23-09-1999'], [4, 'Flowers - Single', '01-01-1900', 4, 'Miley Cyrus', '23-11-1992'], [5, 'Houdini', '01-01-1900', 5, 'Eminem', '17-10-1972']]",SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`release_date (dd-mm-yyyy)` DESC LIMIT 5,0,,0.0,0,0,0,0,0,0,129642,1.0,4.0,4110.0,2.0,2.0,4.0,4110.0,1.0,2916.5,4110.0,0.0,4.0,4110.0,2.0,2.0,1.0,4.0,5.0,5.0,8.7,False,False,False,True,True,False,True,False,False,False,164.0,48.0,24.0,10.0,4.0,2.0,1.0,0.0,41.0,4.0,0.5074647068977356,
data/db_music.sqlite,albums,ORDERBY-SINGLE,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `artist_id` in ascending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[[1, 'Million Dollar Baby - Single', '26-04-2024', 0, 'Tommy Richman', '21-03-2000', 0], [2, 'Not Like Us', '04-05-2024', 1, 'Kendrick Lamar', '17-06-1987', 1], [3, 'I like the way you kiss me', '19-03-2024', 2, 'Artemas', '23-09-1999', 2], [4, 'Flowers - Single', '12-01-2023', 3, 'Miley Cyrus', '23-11-1992', 3], [5, 'Houdini', '31-05-2024', 4, 'Eminem', '17-10-1972', 4]]",SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`artist_id` ASC LIMIT 5,0,,0.0,0,0,0,0,0,0,129638,1.0,4.0,4110.0,2.0,2.0,4.0,4110.0,1.0,2916.5,4110.0,0.0,4.0,4110.0,2.0,2.0,1.0,4.0,2.0,5.0,7.2,False,False,False,True,True,False,True,False,False,False,147.0,38.0,21.0,8.0,4.0,1.0,1.0,0.0,34.0,4.0,0.5001575350761414,
data/db_music.sqlite,albums,ORDERBY-SINGLE,"Join all records from table `albums` with table `artists` on column `artist_id`, then list the top 5 rows sorted by `artist_id` in descending order.",meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,[],SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`artist_id` DESC LIMIT 5,0,,0.0,0,0,0,0,0,0,129638,1.0,4.0,4110.0,2.0,2.0,4.0,4110.0,1.0,2916.5,4110.0,0.0,4.0,4110.0,2.0,2.0,1.0,4.0,2.0,5.0,7.2,False,False,False,True,True,False,True,False,False,False,148.0,38.0,21.0,8.0,4.0,1.0,1.0,0.0,34.0,4.0,0.4996850490570068,
data/db_music.sqlite,albums,ORDERBY-PROJECT,"Join `albums` and `artists` on `artist_id`, select only the column `album_id`, sort it in ascending order, and return the top 5 rows.",meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[[1], [2], [3], [4], [5]]",SELECT T1.`album_id` FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`album_id` ASC LIMIT 5,0,,0.0,0,0,0,0,0,0,129637,1.0,4.0,4110.0,2.0,2.0,4.0,4110.0,1.0,2916.5,4110.0,0.0,4.0,4110.0,2.0,2.0,1.0,1.0,2.0,5.0,6.3,False,False,False,True,True,False,True,False,False,False,133.0,38.0,19.0,5.0,5.0,1.0,3.0,1.0,34.0,4.0,0.4723865389823913,
data/db_music.sqlite,albums,ORDERBY-PROJECT,"Join `albums` and `artists` on `artist_id`, select only the column `album_id`, sort it in descending order, and return the top 5 rows.",meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,[],SELECT T1.`album_id` FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`album_id` DESC LIMIT 5,0,,0.0,0,0,0,0,0,0,129637,1.0,4.0,4110.0,2.0,2.0,4.0,4110.0,1.0,2916.5,4110.0,0.0,4.0,4110.0,2.0,2.0,1.0,1.0,2.0,5.0,6.3,False,False,False,True,True,False,True,False,False,False,134.0,38.0,19.0,5.0,5.0,1.0,3.0,1.0,34.0,4.0,0.4745202660560608,
