db_path,table_name,test_category,query,model,AI_answer,SQL_query,failed_attempts,execution_type,valid_efficiency_score,cell_precision,cell_recall,execution_accuracy,tuple_cardinality,tuple_constraint,tuple_order,token_prompt_count,num_tables,total_columns,total_rows,total_numeric_columns,total_categorical_columns,avg_columns_per_table,avg_rows_per_table,avg_numeric_categorical_ratio,avg_unique_vals,max_unique_vals,avg_data_sparsity,num_columns,num_rows,num_numeric_columns,num_categorical_columns,numeric_categorical_ratio,num_selected_columns,num_order_columns,limit_value,syntax_complexity,has_where,has_group_by,has_having,has_order_by,has_limit,has_distinct,has_join,has_subquery,has_union,has_aggregation,text_length,num_tokens,num_words,num_nouns,num_verbs,num_adjectives,num_entities,num_clauses,avg_sentence_length,keyword_score,semantic_complexity
data/db_music.sqlite,albums,BASIC,"From the `albums` table (T1), extract the year from the `release_date (dd-mm-yyyy)` column and alias this new column as `release_year`. Find all unique (distinct) values for `release_year`. Sort these unique years in ascending order and return the top 5.",gemini-2.5-pro,[],"[(1987,), (1991,), (1994,), (1998,), (1999,)]",0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129662,1,4,4110,2,2,4.0,4110.0,1.0,2916.5,4110,0.0,4.0,4110.0,2.0,2.0,1.0,0,0,,0.0,False,False,False,False,False,False,False,False,False,False,254,71,36,11,4,7,4,0,20.33333333333333,5,0.5073381662368774
data/db_music.sqlite,albums,BASIC,"From the `albums` table (T1), for each row, extract the month from the `release_date (dd-mm-yyyy)` column and name it `release_month`. Filter the results to get only the unique month values. Sort these months in ascending order and return the top 5.",gemini-2.5-pro,"[['01'], ['02'], ['03'], ['04'], ['05']]","[(1,), (2,), (3,), (4,), (5,)]",0,normal,0.0,0.0,0.0,0.0,1.0,0.0,1.0,129661,1,4,4110,2,2,4.0,4110.0,1.0,2916.5,4110,0.0,4.0,4110.0,2.0,2.0,1.0,0,0,,0.0,False,False,False,False,False,False,False,False,False,False,249,68,39,12,5,4,4,1,20.0,6,0.5148017406463623
data/db_music.sqlite,albums,BASIC,"From the `albums` table (T1), extract the day from the `release_date (dd-mm-yyyy)` column, aliasing it as `release_day`. Select only the distinct day values. Sort these unique days in ascending order and return the top 5.",gemini-2.5-pro,[],"[(1,), (2,), (3,), (4,), (5,)]",0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129656,1,4,4110,2,2,4.0,4110.0,1.0,2916.5,4110,0.0,4.0,4110.0,2.0,2.0,1.0,0,0,,0.0,False,False,False,False,False,False,False,False,False,False,221,63,33,9,5,4,3,1,18.0,5,0.5227490663528442
data/db_music.sqlite,artists,BASIC,"From the `artists` table (T1), for each artist, extract the first name from the `name` column and assign the result to the alias `fname`. Sort the results alphabetically by `fname` in ascending order and return the top 5 names.",gemini-2.5-pro,"[['$OHO'], ['$uicideboy$'], ['&ME'], ['(G)I-DLE'], ['*NSYNC']]","[('""XY""',), ('$OHO',), ('$uicideboy$',), ('&ME',), ('(G)I-DLE',)]",0,normal,0.0,0.8,0.8,0.0,1.0,0.8,1.0,45788,1,3,2000,1,2,3.0,2000.0,0.5,1692.0,2000,0.0856666666666666,3.0,2000.0,1.0,2.0,0.5,0,0,,0.0,False,False,False,False,False,False,False,False,False,False,227,57,37,12,4,3,3,0,26.5,4,0.4822536706924438
data/db_music.sqlite,artists,BASIC,"From the `artists` table (T1), extract the last name from the `name` column and call it `lname`. Sort the results in reverse alphabetical order (descending) by `lname` and return the top 5 last names.",gemini-2.5-pro,[],"[('ýýýýýýýýýýýýýýýýýýýýýýýýýýý',), ('ýýýýýýýýýýýýýýýýýýýýý',), ('ýýýýýýýýýýýýýýýýýýýýý',), ('ýýýýýýýýýýýýýýý',), ('ýýýýýýýýýýýýýý',)]",0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45783,1,3,2000,1,2,3.0,2000.0,0.5,1692.0,2000,0.0856666666666666,3.0,2000.0,1.0,2.0,0.5,0,0,,0.0,False,False,False,False,False,False,False,False,False,False,200,53,32,10,4,5,2,0,24.5,3,0.4731966257095337
data/db_music.sqlite,tracks,BASIC,"For each track in the `tracks` table (T1), calculate the length (number of characters) of the `title` column and assign the result to the alias `title_len`. Sort these lengths in descending order and return the 5 largest ones.",gemini-2.5-pro,"[[114], [106], [99], [90], [83]]","[(114,), (99,), (93,), (91,), (83,)]",0,normal,0.0,0.6,0.6,0.0,1.0,0.6,1.0,303745,1,11,4600,9,2,11.0,4600.0,4.5,3204.181818181818,4600,0.047391304347826,11.0,4600.0,9.0,2.0,4.5,0,0,,0.0,False,False,False,False,False,False,False,False,False,False,226,54,35,13,4,1,2,0,25.5,3,0.5182023644447327
data/db_music.sqlite,tracks,BASIC,"From the `tracks` table (T1), convert the text in the `title` column to uppercase and assign the result to the alias `upper_title`. Sort the results alphabetically in ascending order and return the top 5 uppercase titles.",gemini-2.5-pro,"[['""...AND TO THOSE I LOVE, THANKS FOR STICKING AROUND""'], ['""...BABY ONE MORE TIME (FROM KUNG FU PANDA 4)""'], ['""\'TIL YOU CAN\'T""'], ['""(IT GOES LIKE) NANANA - EDIT""'], ['""0 SENTIMIENTOS (REMIX) [FEAT. BABY RASTA, NORIEL, DARKIEL, MESSIAH & LYAN]""']]","[('""SLUT!"" (TAYLOR\'S VERSION) (FROM THE VAULT)',), ('""ýýýýýý ýýýýýýýýýý ""ýýýýýýýýýýýý ýýýý ýýýýýýýýýýýý',), ('#BROOKLYNBLOODPOP!',), (""'TIL YOU CAN'T"",), (""'TILL I COLLAPSE"",)]",0,normal,0.0,0.0,0.0,0.0,1.0,0.0,1.0,303742,1,11,4600,9,2,11.0,4600.0,4.5,3204.181818181818,4600,0.047391304347826,11.0,4600.0,9.0,2.0,4.5,0,0,,0.0,False,False,False,False,False,False,False,False,False,False,221,53,33,11,5,2,2,1,23.5,4,0.5475400686264038
data/db_music.sqlite,tracks,BASIC,"From the `tracks` table (T1), consider only rows where `isrc` is not null. Convert the value of the `isrc` column to lowercase, aliasing it as `isrc_lower`. Sort the results alphabetically and return the top 5.",gemini-2.5-pro,"[['aea0d2036458'], ['aea142213346'], ['arf060903046'], ['arf061500454'], ['arf062200275']]","[('aea0d2036458',), ('aea0q2102685',), ('aea0q2376389',), ('aea142213346',), ('aea2d2300315',)]",0,normal,0.0,0.4,0.4,0.0,1.0,0.4,1.0,303749,1,11,4600,9,2,11.0,4600.0,4.5,3204.181818181818,4600,0.047391304347826,11.0,4600.0,9.0,2.0,4.5,0,0,,0.0,False,False,False,False,False,False,False,False,False,False,210,59,32,9,5,2,3,3,16.666666666666668,3,0.4651826620101928
data/db_music.sqlite,tracks,BASIC,"From the `tracks` table (T1), calculate the average value of the `spotify_popularity` column across all rows. Return this single value with the alias `avg_popularity`.",gemini-2.5-pro,[[63.36944881889764]],"[(63.50158061116965,)]",0,normal,0.0,0.0,0.0,0.0,1.0,0.0,1.0,303731,1,11,4600,9,2,11.0,4600.0,4.5,3204.181818181818,4600,0.047391304347826,11.0,4600.0,9.0,2.0,4.5,0,0,,0.0,False,False,False,False,False,False,False,False,False,False,167,42,21,9,2,2,1,0,17.5,2,0.7362992167472839
data/db_music.sqlite,tracks,BASIC,Calculate the total sum of all values in the `spotify_streams` column of the `tracks` table (T1). Return the result as `total_streams`.,gemini-2.5-pro,[[348081859255]],"[(2007426881265,)]",0,normal,0.0,0.0,0.0,0.0,1.0,0.0,1.0,303725,1,11,4600,9,2,11.0,4600.0,4.5,3204.181818181818,4600,0.047391304347826,11.0,4600.0,9.0,2.0,4.5,0,0,,0.0,False,False,False,False,False,False,False,False,False,False,135,37,18,8,2,1,0,0,15.5,2,0.7723686099052429
