model,execution_type,db_path,table,sql_query,question,result,valid_efficiency_score,cell_precision,cell_recall,execution_accuracy,tuple_cardinality,tuple_constraint,tuple_order
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT * FROM `animals` ORDER BY `Habitat` ASC LIMIT 5,"List the top 5 rows from the table `animals`, sorted by the column `Habitat` in ascending order.","[['African savannas and forests'], ['African grasslands and savannas'], ['African freshwater rivers and lakes'], ['Mountains, cliffs, and open terrains in the Northern Hemisphere'], ['Antarctic ice and surrounding ocean']]",0.0,0.0,0.0,0.0,1.0,0.0,0.5
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT * FROM `animals` ORDER BY `Habitat` DESC LIMIT 5,"List the top 5 rows from the table `animals`, sorted by the column `Habitat` in descending order.","[['Tropical and subtropical oceans worldwide'], ['Tropical rainforests of Southeast Asia'], ['Tropical forests of Central and South America'], ['Temperate and polar oceans, especially North Atlantic'], ['Savannas, grasslands, and open woodlands of Africa']]",0.0,0.0,0.0,0.0,1.0,0.0,0.5
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT * FROM `animals` ORDER BY `Average weight (kg)` ASC LIMIT 5,"List the top 5 rows from the table `animals`, sorted by the column `Average weight (kg)` in ascending order.","[[0.05], [0.2], [1.0], [1.2], [6.0]]",0.0,1.0,0.217,0.0,1.0,0.0,0.5
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT * FROM `animals` ORDER BY `Average weight (kg)` DESC LIMIT 5,"List the top 5 rows from the table `animals`, sorted by the column `Average weight (kg)` in descending order.","[[140000.0], [6000.0], [2400.0], [1500.0], [1200.0]]",0.0,1.0,0.25,0.0,1.0,0.0,0.5
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT * FROM `animals` ORDER BY `Average lifespan` ASC LIMIT 5,"List the top 5 rows from the table `animals`, sorted by the column `Average lifespan` in ascending order.","[[4], [5], [12], [13], [14]]",0.0,1.0,0.217,0.0,1.0,0.0,0.5
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT * FROM `animals` ORDER BY `Average lifespan` DESC LIMIT 5,"List the top 5 rows from the table `animals`, sorted by the column `Average lifespan` in descending order.",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT * FROM `animals` ORDER BY `Name` ASC LIMIT 5,"List the top 5 rows from the table `animals`, sorted by the column `Name` in ascending order.","[[4], [5], [12], [13], [14]]",0.0,0.2,0.048,0.0,1.0,0.0,0.5
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT * FROM `animals` ORDER BY `Name` DESC LIMIT 5,"List the top 5 rows from the table `animals`, sorted by the column `Name` in descending order.","[['Zebra', 'Mammal', 'Savannas', 25, 300.0], ['Wolf', 'Mammal', 'Forests and tundra', 13, 45.0], ['Whale (Blue)', 'Mammal', 'Oceans', 90, 140000.0], ['Tiger', 'Mammal', 'Forests', 15, 220.0], ['Toucan', 'Bird', 'Rainforests', 50, 1.2]]",0.0,0.182,0.174,0.0,1.0,0.0,0.5
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT * FROM `animals` ORDER BY `Average lifespan` + `Average weight (kg)` ASC LIMIT 5,"Compute the sum of the columns Average lifespan, Average weight (kg) for each row in `animals`. Sort all rows in ascending order by this sum and return the first 5 rows.","[['Seahorse', 'Fish', 'Coral reefs', 4, 0.05, 4.05], ['Panther chameleon', 'Reptile', 'Madagascar forests', 5, 0.2, 5.2], ['Peregrine falcon', 'Bird', 'Cliffs and urban areas', 15, 1.0, 16.0], ['Macaw parrot', 'Bird', 'Rainforests', 50, 1.2, 51.2], ['King cobra', 'Reptile', 'Tropical forests', 20, 6.0, 26.0]]",0.0,0.679,0.864,0.0,1.0,0.0,0.5
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT * FROM `animals` ORDER BY `Average lifespan` + `Average weight (kg)` DESC LIMIT 5,"Compute the sum of the columns Average lifespan, Average weight (kg) for each row in `animals`. Sort all rows in descending order by this sum and return the first 5 rows.","[['Blue whale', 'Mammal', 'Oceans', 90, 140000.0, 140090.0], ['African elephant', 'Mammal', 'African savannas', 70, 6000.0, 6070.0], ['White rhinoceros', 'Mammal', 'African savannas', 50, 2400.0, 2450.0], ['Hippopotamus', 'Mammal', 'African rivers', 40, 1500.0, 1540.0], ['Giraffe', 'Mammal', 'Savannas', 25, 1200.0, 1225.0]]",0.0,0.8,1.0,0.0,1.0,0.0,0.5
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT `Name` FROM `animals` ORDER BY `Name` ASC LIMIT 5,Select only the column `Name` from `animals`. Sort it in ascending order and return the first 5 values.,"[['African elephant'], ['Bengal tiger'], ['Black panther'], ['Blue whale'], ['Emperor penguin']]",0.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT `Name` FROM `animals` ORDER BY `Name` DESC LIMIT 5,Select only the column `Name` from `animals`. Sort it in descending order and return the first 5 values.,"[['Zebra'], ['Wolf'], ['Whale (Blue)'], ['Tiger'], ['Toucan']]",0.0,0.0,0.0,0.0,1.0,0.0,0.5
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT `Class` FROM `animals` ORDER BY `Class` ASC LIMIT 5,Select only the column `Class` from `animals`. Sort it in ascending order and return the first 5 values.,"[['Bird'], ['Bird'], ['Bird'], ['Bird'], ['Bird']]",0.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT `Class` FROM `animals` ORDER BY `Class` DESC LIMIT 5,Select only the column `Class` from `animals`. Sort it in descending order and return the first 5 values.,"[['Reptile'], ['Reptile'], ['Reptile'], ['Reptile'], ['Reptile']]",0.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT `Habitat` FROM `animals` ORDER BY `Habitat` ASC LIMIT 5,Select only the column `Habitat` from `animals`. Sort it in ascending order and return the first 5 values.,"[['African rivers'], ['African savannas'], ['African savannas'], ['Antarctica'], ['Arctic']]",0.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT `Habitat` FROM `animals` ORDER BY `Habitat` DESC LIMIT 5,Select only the column `Habitat` from `animals`. Sort it in descending order and return the first 5 values.,"[['Savannas'], ['Savannas'], ['Rainforests'], ['Rainforests'], ['Rivers and lakes']]",0.0,0.333,0.5,0.0,1.0,0.5,1.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT `Average lifespan` FROM `animals` ORDER BY `Average lifespan` ASC LIMIT 5,Select only the column `Average lifespan` from `animals`. Sort it in ascending order and return the first 5 values.,"[[4], [5], [12], [13], [14]]",0.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT `Average lifespan` FROM `animals` ORDER BY `Average lifespan` DESC LIMIT 5,Select only the column `Average lifespan` from `animals`. Sort it in descending order and return the first 5 values.,"[[100], [90], [70], [70], [70]]",0.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT `Average weight (kg)` FROM `animals` ORDER BY `Average weight (kg)` ASC LIMIT 5,Select only the column `Average weight (kg)` from `animals`. Sort it in ascending order and return the first 5 values.,"[[0.05], [0.2], [1.0], [1.2], [6.0]]",0.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,animals,SELECT `Average weight (kg)` FROM `animals` ORDER BY `Average weight (kg)` DESC LIMIT 5,Select only the column `Average weight (kg)` from `animals`. Sort it in descending order and return the first 5 values.,"[[140000.0], [6000.0], [2400.0], [1500.0], [1200.0]]",0.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,cars,SELECT * FROM `cars` ORDER BY `Country of production` ASC LIMIT 5,"List the top 5 rows from the table `cars`, sorted by the column `Country of production` in ascending order.","[['Golf VIII', 'Volkswagen', 2021, 'Sedan', 130, 5.1, 'Germany'], ['Panda', 'Fiat', 2020, 'City car', 69, 4.9, 'Italy'], ['Model 3', 'Tesla', 2022, 'Sedan', 283, 0.0, 'USA'], ['Qashqai', 'Nissan', 2021, 'SUV', 140, 6.2, 'Japan'], ['208', 'Peugeot', 2022, 'Hatchback', 100, 4.5, 'France']]",0.0,0.5,0.571,0.0,1.0,0.4,0.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,cars,SELECT * FROM `cars` ORDER BY `Country of production` DESC LIMIT 5,"List the top 5 rows from the table `cars`, sorted by the column `Country of production` in descending order.","[['EQA', 'Mercedes-Benz', 2023, 'SUV', 190, 0.0, 'Germany'], ['A4', 'Audi', 2022, 'Sedan', 150, 5.7, 'Germany'], ['Golf VIII', 'Volkswagen', 2021, 'Sedan', 130, 5.1, 'Germany'], ['Polo', 'Volkswagen', 2021, 'Hatchback', 95, 4.8, 'Germany'], ['3 Series', 'BMW', 2022, 'Sedan', 184, 5.6, 'Germany']]",0.0,0.308,0.267,0.0,1.0,0.0,0.5
gpt-5_mini,,data/categorical_simple_eng.sqlite,cars,SELECT * FROM `cars` ORDER BY `Model` ASC LIMIT 5,"List the top 5 rows from the table `cars`, sorted by the column `Model` in ascending order.","[['3 Series', 'BMW', 2022, 'Sedan', 184, 5.6, 'Germany'], ['500e', 'Fiat', 2023, 'City car', 118, 0.0, 'Italy'], ['A4', 'Audi', 2022, 'Sedan', 150, 5.7, 'Germany'], ['Aygo X', 'Toyota', 2022, 'City car', 72, 4.8, 'Czech Republic'], ['Clio V', 'Renault', 2021, 'Hatchback', 90, 4.3, 'France']]",0.0,0.833,0.862,0.0,1.0,0.8,1.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,cars,SELECT * FROM `cars` ORDER BY `Model` DESC LIMIT 5,"List the top 5 rows from the table `cars`, sorted by the column `Model` in descending order.","[['Yaris Cross', 'Toyota', 2023, 'SUV', 116, 4.7, 'Japan'], ['Wandering albatross', 'SEAT', 2021, 'Hatchback', 130, 5.2, 'Spain'], ['XC60', 'Volvo', 2022, 'SUV', 250, 7.1, 'Sweden'], ['X5', 'Mazda', 2021, 'SUV', 165, 6.8, 'Japan'], ['Tucson', 'Hyundai', 2022, 'SUV', 150, 6.4, 'South Korea']]",0.0,0.621,0.643,0.0,1.0,0.6,1.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,cars,SELECT * FROM `cars` ORDER BY `Year` ASC LIMIT 5,"List the top 5 rows from the table `cars`, sorted by the column `Year` in ascending order.","[['Panda', 'Fiat', 2020, 'City car', 69, 4.9, 'Italy'], ['Talisman', 'Renault', 2020, 'Sedan', 160, 5.5, 'France'], ['Golf VIII', 'Volkswagen', 2021, 'Sedan', 130, 5.1, 'Germany'], ['Qashqai', 'Nissan', 2021, 'SUV', 140, 6.2, 'United Kingdom'], ['Polo', 'Volkswagen', 2021, 'Hatchback', 95, 4.8, 'Germany']]",0.0,0.897,0.897,0.0,1.0,0.8,1.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,cars,SELECT * FROM `cars` ORDER BY `Year` DESC LIMIT 5,"List the top 5 rows from the table `cars`, sorted by the column `Year` in descending order.","[['Yaris Cross', 'Toyota', 2023, 'SUV', 116, 4.7, 'Japan'], ['500e', 'Fiat', 2023, 'City car', 118, 0.0, 'Italy'], ['Sportage', 'Kia', 2023, 'SUV', 160, 6.3, 'South Korea'], ['EQA', 'Mercedes-Benz', 2023, 'SUV', 190, 0.0, 'Germany'], ['Model 3', 'Tesla', 2022, 'Sedan', 283, 0.0, 'USA']]",0.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,cars,SELECT * FROM `cars` ORDER BY `Horsepower` ASC LIMIT 5,"List the top 5 rows from the table `cars`, sorted by the column `Horsepower` in ascending order.","[['Panda', 'Fiat', 2020, 'City car', 69, 4.9, 'Italy'], ['Aygo X', 'Toyota', 2022, 'City car', 72, 4.8, 'Czech Republic'], ['Clio V', 'Renault', 2021, 'Hatchback', 90, 4.3, 'France'], ['Sandero', 'Dacia', 2021, 'Hatchback', 90, 5.0, 'Romania'], ['208', 'Peugeot', 2022, 'Hatchback', 100, 4.5, 'France']]",0.0,0.857,0.857,0.0,1.0,0.8,1.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,cars,SELECT * FROM `cars` ORDER BY `Horsepower` DESC LIMIT 5,"List the top 5 rows from the table `cars`, sorted by the column `Horsepower` in descending order.","[['Model 3', 'Tesla', 2022, 'Sedan', 283, 0.0, 'USA'], ['XC60', 'Volvo', 2022, 'SUV', 250, 7.1, 'Sweden'], ['3 Series', 'BMW', 2022, 'Sedan', 184, 5.6, 'Germany'], ['EQA', 'Mercedes-Benz', 2023, 'SUV', 190, 0.0, 'Germany'], ['Giulia', 'Alfa Romeo', 2022, 'Sedan', 200, 6.0, 'Italy']]",0.0,0.852,0.793,0.0,1.0,0.8,0.9
gpt-5_mini,,data/categorical_simple_eng.sqlite,cars,SELECT * FROM `cars` ORDER BY `Year` + `Horsepower` DESC LIMIT 5,"Compute the sum of the columns Year, Horsepower for each row in `cars`. Sort all rows in descending order by this sum and return the first 5 rows.","[['Model 3', 'Tesla', 2022, 'Sedan', 283, 0.0, 'USA', 2305], ['XC60', 'Volvo', 2022, 'SUV', 250, 7.1, 'Sweden', 2272], ['3 Series', 'BMW', 2022, 'Sedan', 184, 5.6, 'Germany', 2206], ['EQA', 'Mercedes-Benz', 2023, 'SUV', 190, 0.0, 'Germany', 2213], ['Giulia', 'Alfa Romeo', 2022, 'Sedan', 200, 6.0, 'Italy', 2222]]",0.0,0.719,0.793,0.0,1.0,0.0,0.5
gpt-5_mini,,data/categorical_simple_eng.sqlite,cars,SELECT `Brand` FROM `cars` ORDER BY `Brand` ASC LIMIT 5,Select only the column `Brand` from `cars`. Sort it in ascending order and return the first 5 values.,"[['Alfa Romeo'], ['Audi'], ['BMW'], ['Dacia'], ['Fiat']]",0.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,cars,SELECT `Brand` FROM `cars` ORDER BY `Brand` DESC LIMIT 5,Select only the column `Brand` from `cars`. Sort it in descending order and return the first 5 values.,"[['Volvo'], ['Volkswagen'], ['Volkswagen'], ['Tesla'], ['Subaru']]",0.0,0.5,0.667,0.0,1.0,0.667,1.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,cars,SELECT `Country of production` FROM `cars` ORDER BY `Country of production` ASC LIMIT 5,Select only the column `Country of production` from `cars`. Sort it in ascending order and return the first 5 values.,"[['France'], ['Germany'], ['Italy'], ['Japan'], ['Romania']]",0.0,0.4,0.667,0.0,1.0,0.333,1.0
gpt-5_mini,,data/categorical_simple_eng.sqlite,cars,SELECT `Country of production` FROM `cars` ORDER BY `Country of production` DESC LIMIT 5,Select only the column `Country of production` from `cars`. Sort it in descending order and return the first 5 values.,"[['USA'], ['Sweden'], ['Spain'], ['South Korea'], ['Romania']]",0.0,0.8,0.8,0.0,1.0,0.8,1.0
