db_path,table_name,test_category,query,model,AI_answer,SQL_query,failed_attempts,note,valid_efficiency_score,cell_precision,cell_recall,execution_accuracy,tuple_cardinality,tuple_constraint,tuple_order
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,"List the top 5 rows from the table `animals`, sorted by the column `Habitat` in ascending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['African elephant', 'Mammal', 'Savanna', 70, 6000.0], ['Lion', 'Mammal', 'Grassland', 14, 190.0], ['Nile crocodile', 'Reptile', 'River', 70, 500.0], ['Golden eagle', 'Bird', 'Mountain', 25, 6.0], ['Emperor penguin', 'Bird', 'Antarctica', 20, 30.0]]",SELECT * FROM `animals` ORDER BY `Habitat` ASC LIMIT 5,0,,0.0,0.455,0.476,0.0,1.0,0.2,1.0
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,"List the top 5 rows from the table `animals`, sorted by the column `Habitat` in descending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Giraffe', 'Mammal', 'Savanna/Woodland', 25, 1200.0], ['Reticulated python', 'Reptile', 'Rainforest/Grassland', 20, 75.0], ['Orangutan', 'Mammal', 'Rainforest', 30, 75.0], ['Macaw parrot', 'Bird', 'Rainforest', 50, 1.2], ['Peregrine falcon', 'Bird', 'Mountain/Urban', 15, 1.0]]",SELECT * FROM `animals` ORDER BY `Habitat` DESC LIMIT 5,1,,0.0,0.381,0.444,0.0,1.0,0.0,0.5
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,"List the top 5 rows from the table `animals`, sorted by the column `Average weight (kg)` in ascending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Seahorse', 'Fish', 'Coral reefs', 4, 0.05], ['King cobra', 'Reptile', 'Tropical forests', 20, 0.06], ['Panther chameleon', 'Reptile', 'Madagascar forests', 5, 0.2], ['Peregrine falcon', 'Bird', 'Cliffs and urban areas', 15, 1], ['Macaw parrot', 'Bird', 'Rainforests', 50, 1]]",SELECT * FROM `animals` ORDER BY `Average weight (kg)` ASC LIMIT 5,0,,0.0,0.818,0.783,0.0,1.0,0.6,1.0
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,"List the top 5 rows from the table `animals`, sorted by the column `Average weight (kg)` in descending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Blue whale', 'Mammal', 'Oceans', 90, 150000], ['African elephant', 'Mammal', 'African savannas', 70, 6000], ['White rhinoceros', 'Mammal', 'African savannas', 50, 3600], ['Hippopotamus', 'Mammal', 'African rivers', 40, 3000], ['Nile crocodile', 'Reptile', 'Rivers and lakes', 70, 1000]]",SELECT * FROM `animals` ORDER BY `Average weight (kg)` DESC LIMIT 5,0,,0.0,0.65,0.65,0.0,1.0,0.2,1.0
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,"List the top 5 rows from the table `animals`, sorted by the column `Average lifespan` in ascending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Seahorse', 'Fish', 'Coral reefs', 1, 0.05], ['Panther chameleon', 'Reptile', 'Madagascar forests', 5, 0.2], ['Red kangaroo', 'Mammal', 'Australian deserts', 6, 85.0], ['Gray wolf', 'Mammal', 'Forests and tundra', 6, 45.0], ['Peregrine falcon', 'Bird', 'Cliffs and urban areas', 10, 1.0]]",SELECT * FROM `animals` ORDER BY `Average lifespan` ASC LIMIT 5,0,,0.0,0.591,0.565,0.0,1.0,0.2,1.0
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,"List the top 5 rows from the table `animals`, sorted by the column `Average lifespan` in descending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Nile crocodile', 'Reptile', 'Rivers and lakes', 70, 500.0], ['African elephant', 'Mammal', 'African savannas', 65, 6000.0], ['Giant tortoise', 'Reptile', 'Galápagos Islands', 80, 250.0], ['White rhinoceros', 'Mammal', 'African savannas', 50, 2400.0], ['Giraffe', 'Mammal', 'Savannas', 25, 1200.0]]",SELECT * FROM `animals` ORDER BY `Average lifespan` DESC LIMIT 5,0,,0.0,0.571,0.6,0.0,1.0,0.2,1.0
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,"List the top 5 rows from the table `animals`, sorted by the column `Name` in ascending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['African Elephant', 'Mammal', 'African savannas', 70, 6000.0], ['Blue Whale', 'Mammal', 'Oceans', 90, 140000.0], ['Giraffe', 'Mammal', 'Savannas', 25, 1200.0], ['Hippopotamus', 'Mammal', 'African rivers', 40, 1500.0], ['Kangaroo', 'Mammal', 'Australian deserts', 23, 85.0]]",SELECT * FROM `animals` ORDER BY `Name` ASC LIMIT 5,0,,0.0,0.333,0.333,0.0,1.0,0.0,0.5
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,"List the top 5 rows from the table `animals`, sorted by the column `Name` in descending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Whale Shark', 'Fish', 'Oceans', 70, 1100.0], ['Wolf', 'Mammal', 'Forests and tundra', 13, 45.0], ['Polar Bear', 'Mammal', 'Arctic', 25, 450.0], ['Penguin', 'Bird', 'Antarctica', 20, 30.0], ['Nile Crocodile', 'Reptile', 'Rivers and lakes', 70, 500.0]]",SELECT * FROM `animals` ORDER BY `Name` DESC LIMIT 5,0,,0.0,0.261,0.261,0.0,1.0,0.0,0.5
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,Show the first 5 entries ordered by Habitat in ascending order for the table animals,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Emperor penguin', 'Bird', 'Antarctic', 20, 30.0], ['Nile crocodile', 'Reptile', 'Freshwater', 70, 500.0], ['Lion', 'Mammal', 'Grassland', 14, 190.0], ['Golden eagle', 'Bird', 'Mountain', 25, 6.0], ['African elephant', 'Mammal', 'Savanna', 70, 6000.0]]",SELECT * FROM `animals` ORDER BY `Habitat` ASC LIMIT 5,0,,0.0,0.409,0.429,0.0,1.0,0.0,0.5
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,Show the first 5 entries ordered by Habitat in descending order for the table animals,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['African elephant', 'Mammal', 'Savanna', 70, 6000.0], ['Lion', 'Mammal', 'Savanna', 14, 190.0], ['Nile crocodile', 'Reptile', 'Wetlands', 70, 500.0], ['Golden eagle', 'Bird', 'Mountains', 25, 6.0], ['Emperor penguin', 'Bird', 'Antarctica', 20, 30.0]]",SELECT * FROM `animals` ORDER BY `Habitat` DESC LIMIT 5,0,,0.0,0.381,0.444,0.0,1.0,0.0,0.5
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,Show the first 5 entries ordered by Average weight (kg) in ascending order for the table animals,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Golden eagle', 'Bird', 'Mountains', 25, 7], ['Emperor penguin', 'Bird', 'Antarctica', 20, 30], ['Lion', 'Mammal', 'Savannas', 14, 190], ['Nile crocodile', 'Reptile', 'Rivers and lakes', 70, 500], ['African elephant', 'Mammal', 'African savannas', 70, 6000]]",SELECT * FROM `animals` ORDER BY `Average weight (kg)` ASC LIMIT 5,0,,0.0,0.227,0.217,0.0,1.0,0.0,0.5
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,Show the first 5 entries ordered by Average weight (kg) in descending order for the table animals,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Blue whale', 'Mammal', 'Oceans', 90, 150000], ['African elephant', 'Mammal', 'African savannas', 70, 6000], ['White rhinoceros', 'Mammal', 'African savannas', 50, 3600], ['Hippopotamus', 'Mammal', 'African rivers', 40, 3000], ['Giraffe', 'Mammal', 'Savannas', 25, 1200]]",SELECT * FROM `animals` ORDER BY `Average weight (kg)` DESC LIMIT 5,0,,0.0,0.85,0.85,0.0,1.0,0.4,1.0
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,Show the first 5 entries ordered by Average lifespan in ascending order for the table animals,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Seahorse', 'Fish', 'Coral reefs', 5, 0.05], ['Panther chameleon', 'Reptile', 'Madagascar forests', 7, 0.2], ['Peregrine falcon', 'Bird', 'Cliffs and urban areas', 12, 1.0], ['Golden eagle', 'Bird', 'Mountains', 25, 6.0], ['Macaw parrot', 'Bird', 'Rainforests', 30, 1.2]]",SELECT * FROM `animals` ORDER BY `Average lifespan` ASC LIMIT 5,0,,0.0,0.435,0.435,0.0,1.0,0.0,0.5
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,Show the first 5 entries ordered by Average lifespan in descending order for the table animals,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Giant tortoise', 'Reptile', 'Galápagos Islands', 150, 250.0], ['Nile crocodile', 'Reptile', 'Rivers and lakes', 100, 500.0], ['Great white shark', 'Fish', 'Oceans', 100, 1100.0], ['Blue whale', 'Mammal', 'Oceans', 90, 140000.0], ['African elephant', 'Mammal', 'African savannas', 70, 6000.0]]",SELECT * FROM `animals` ORDER BY `Average lifespan` DESC LIMIT 5,0,,0.0,0.952,1.0,0.0,1.0,0.4,1.0
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,Show the first 5 entries ordered by Name in ascending order for the table animals,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['African Elephant', 'Mammal', 'African savannas', 70, 6000.0], ['Emperor Penguin', 'Bird', 'Antarctica', 20, 30.0], ['Golden Eagle', 'Bird', 'Mountains', 25, 6.0], ['Nile Crocodile', 'Reptile', 'Rivers and lakes', 70, 500.0], ['Springbok', 'Mammal', 'Savannas', 14, 190.0]]",SELECT * FROM `animals` ORDER BY `Name` ASC LIMIT 5,0,,0.0,0.364,0.381,0.0,1.0,0.0,0.5
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,Show the first 5 entries ordered by Name in descending order for the table animals,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Nile Crocodile', 'Reptile', 'Rivers and lakes', 70, 500.0], ['Leopard', 'Mammal', 'Savannas', 14, 190.0], ['Golden Eagle', 'Bird', 'Mountains', 25, 6.0], ['Emperor Penguin', 'Bird', 'Antarctica', 20, 30.0], ['African Elephant', 'Mammal', 'African savannas', 70, 6000.0]]",SELECT * FROM `animals` ORDER BY `Name` DESC LIMIT 5,0,,0.0,0.227,0.217,0.0,1.0,0.0,0.5
