model,execution_type,db_path,table,sql_query,question,result,valid_efficiency_score,cell_precision,cell_recall,execution_accuracy,tuple_cardinality,tuple_constraint,tuple_order
GPT-4o-mini,REMOVE,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Habitat` ASC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Habitat` in ascending order.","[['Albatros urlatore', 'Uccello', 50, 11.0, 'Oceano aperto'], ['Aquila reale', 'Uccello', 25, 6.0, 'Zone montuose'], ['Balena azzurra', 'Mammifero', 90, 140000.0, 'Oceano'], ['Canguro rosso', 'Mammifero', 23, 85.0, 'Praterie australiane'], ['Camaleonte pantera', 'Rettile', 5, 0.2, 'Foreste tropicali']]",0.0,0.261,0.261,0,1.0,0.0,0.5
GPT-4o-mini,REMOVE,data/db_categorical_simple.sqlite,dataset_animali,SELECT `Nome` FROM `dataset_animali` ORDER BY `Nome` ASC LIMIT 5,Select only the column `Nome` from `dataset_animali`. Sort it in ascending order and return the first 5 values.,"[['Albatros urlatore'], ['Aquila reale'], ['Balena azzurra'], ['Camaleonte pantera'], ['Canguro rosso']]",0.0,1.0,1.0,1,1.0,1.0,1.0
GPT-4o-mini,REMOVE,data/db_categorical_simple.sqlite,dataset_auto,SELECT * FROM `dataset_auto` ORDER BY `Tipo` ASC LIMIT 5,"List the top 5 rows from the table `dataset_auto`, sorted by the column `Tipo` in ascending order.","[['Model 3', 'Tesla', 2022, 283, 0.0, 'USA', 'Berlina elettrica'], ['500e', 'Fiat', 2023, 118, 0.0, 'Italia', 'Citycar elettrica'], ['Panda', 'Fiat', 2020, 69, 4.9, 'Italia', 'Citycar'], ['Aygo X', 'Toyota', 2022, 72, 4.8, 'Repubblica Ceca', 'Citycar'], ['Clio V', 'Renault', 2021, 90, 4.3, 'Francia', 'Compatta']]",0.0,0.267,0.308,0,1.0,0.0,0.5
GPT-4o-mini,REMOVE,data/db_categorical_simple.sqlite,dataset_auto,SELECT * FROM `dataset_auto` ORDER BY `Anno` ASC LIMIT 5,"List the top 5 rows from the table `dataset_auto`, sorted by the column `Anno` in ascending order.","[['Panda', 'Fiat', 2020, 'Citycar', 69, 4.9, 'Italia'], ['Talisman', 'Renault', 2020, 'Berlina', 160, 5.5, 'Francia'], ['Golf VIII', 'Volkswagen', 2021, 'Berlina', 130, 5.1, 'Germania'], ['Qashqai', 'Nissan', 2021, 'SUV', 140, 6.2, 'Regno Unito'], ['Clio V', 'Renault', 2021, 'Hatchback', 90, 4.3, 'Francia']]",0.0,1.0,1.0,1,1.0,1.0,1.0
GPT-4o-mini,REMOVE,data/db_categorical_simple.sqlite,dataset_auto,SELECT * FROM `dataset_auto` ORDER BY `Modello` DESC LIMIT 5,"List the top 5 rows from the table `dataset_auto`, sorted by the column `Modello` in descending order.","[['Yaris Cross', 'Toyota', 2023, 'SUV', 116, 4.7, 'Giappone'], ['Tucson', 'Hyundai', 2022, 'SUV', 150, 6.4, 'Corea del Sud'], ['Talisman', 'Renault', 2020, 'Berlina', 160, 5.5, 'Francia'], ['Sportage', 'Kia', 2023, 'SUV', 160, 6.3, 'Corea del Sud'], ['Serie 3', 'BMW', 2022, 'Berlina', 184, 5.6, 'Germania']]",0.0,0.821,0.821,0,1.0,0.8,1.0
GPT-4o-mini,REMOVE,data/db_categorical_simple.sqlite,dataset_auto,SELECT * FROM `dataset_auto` ORDER BY `Marca` + `Cavalli` + `Paese di produzione` DESC LIMIT 5,"Compute the sum of the columns Marca, Cavalli, Paese di produzione for each row in `dataset_auto`. Sort all rows in descending order by this sum and return the first 5 rows.","[['Model 3', 'Tesla', 2022, 'Berlina', 283, 0.0, 'USA', 283], ['XC60', 'Volvo', 2022, 'SUV', 250, 7.1, 'Svezia', 250], ['Outlander PHEV', 'Mitsubishi', 2021, 'SUV', 224, 2.0, 'Giappone', 224], ['Serie 3', 'BMW', 2022, 'Berlina', 184, 5.6, 'Germania', 184], ['EQA', 'Mercedes-Benz', 2023, 'SUV', 190, 0.0, 'Germania', 190]]",0.0,0.857,0.828,0,1.0,0.0,0.5
GPT-4o-mini,REMOVE,data/db_categorical_simple.sqlite,dataset_auto,SELECT `Marca` FROM `dataset_auto` ORDER BY `Marca` ASC LIMIT 5,Select only the column `Marca` from `dataset_auto`. Sort it in ascending order and return the first 5 values.,"[['Alfa Romeo'], ['Audi'], ['BMW'], ['Dacia'], ['Fiat']]",0.0,1.0,1.0,1,1.0,1.0,1.0
GPT-4o-mini,REMOVE,data/db_categorical_simple.sqlite,dataset_auto,SELECT `Modello` FROM `dataset_auto` ORDER BY `Modello` DESC LIMIT 5,Select only the column `Modello` from `dataset_auto`. Sort it in descending order and return the first 5 values.,"[['Yaris Cross'], ['XC60'], ['Tucson'], ['Talisman'], ['Sportage']]",0.0,1.0,1.0,1,1.0,1.0,1.0
GPT-4o-mini,REMOVE,data/db_categorical_simple.sqlite,dataset_auto,SELECT `Anno` FROM `dataset_auto` ORDER BY `Anno` ASC LIMIT 5,Select only the column `Anno` from `dataset_auto`. Sort it in ascending order and return the first 5 values.,"[[2020], [2020], [2021], [2021], [2021]]",0.0,1.0,1.0,1,1.0,1.0,1.0
GPT-4o-mini,REMOVE,data/db_categorical_simple.sqlite,dataset_auto,SELECT `Anno` FROM `dataset_auto` ORDER BY `Anno` DESC LIMIT 5,Select only the column `Anno` from `dataset_auto`. Sort it in descending order and return the first 5 values.,"[[2023], [2023], [2023], [2022], [2022]]",0.0,1.0,1.0,1,1.0,0.0,1.0
GPT-4o-mini,REMOVE,data/db_categorical_simple.sqlite,dataset_film_famosi,SELECT * FROM `dataset_film_famosi` ORDER BY `Anno` ASC LIMIT 5,"List the top 5 rows from the table `dataset_film_famosi`, sorted by the column `Anno` in ascending order.","[['Casablanca', 'Michael Curtiz', 'Romantico', 102, 3], ['The Godfather Part II', 'Francis Ford Coppola', 'Drammatico', 202, 6], ['Il Padrino', 'Francis Ford Coppola', 'Drammatico', 175, 3], ['Forrest Gump', 'Robert Zemeckis', 'Drammatico', 142, 6], ['Pulp Fiction', 'Quentin Tarantino', 'Crime', 154, 1]]",0.0,0.6,0.444,0,1.0,0.0,0.5
GPT-4o-mini,REMOVE,data/db_categorical_simple.sqlite,dataset_film_famosi,SELECT * FROM `dataset_film_famosi` ORDER BY `Anno` DESC LIMIT 5,"List the top 5 rows from the table `dataset_film_famosi`, sorted by the column `Anno` in descending order.","[['La La Land', 'Damien Chazelle', 'Musical', 128, 6], ['Parasite', 'Bong Joon-ho', 'Thriller', 132, 4], ['Birdman', 'Alejandro G. Iñárritu', 'Commedia Drammatica', 119, 4], ['The Artist', 'Michel Hazanavicius', 'Commedia Drammatica', 100, 5], ['Argo', 'Ben Affleck', 'Thriller', 120, 3]]",0.0,0.682,0.536,0,1.0,0.0,0.5
GPT-4o-mini,REMOVE,data/db_categorical_simple.sqlite,dataset_film_famosi,SELECT * FROM `dataset_film_famosi` ORDER BY `Regista` ASC LIMIT 5,"List the top 5 rows from the table `dataset_film_famosi`, sorted by the column `Regista` in ascending order.","[['Il Padrino', 1972, 'Francis Ford Coppola', 'Drammatico', 175, 3], ['The Godfather Part II', 1974, 'Francis Ford Coppola', 'Drammatico', 202, 6], ['Inception', 2010, 'Christopher Nolan', 'Sci-Fi', 148, 4], ['Gladiator', 2000, 'Ridley Scott', 'Storico', 155, 5], ['Pulp Fiction', 1994, 'Quentin Tarantino', 'Crime', 154, 1]]",0.0,0.25,0.259,0,1.0,0.2,1.0
GPT-4o-mini,REMOVE,data/db_categorical_simple.sqlite,dataset_film_famosi,SELECT * FROM `dataset_film_famosi` ORDER BY `Regista` + `Oscar vinti` DESC LIMIT 5,"Compute the sum of the columns Regista, Oscar vinti for each row in `dataset_film_famosi`. Sort all rows in descending order by this sum and return the first 5 rows.","[['Christopher Nolan4', 2010, 'Christopher Nolan', 'Sci-Fi', 148, 4, 21], ['Francis Ford Coppola6', 1972, 'Francis Ford Coppola', 'Drammatico', 175, 3, 20], ['Francis Ford Coppola6', 1974, 'Francis Ford Coppola', 'Drammatico', 202, 6, 20], ['James Cameron11', 1997, 'James Cameron', 'Romantico', 195, 11, 20], ['Ridley Scott5', 2000, 'Ridley Scott', 'Storico', 155, 5, 19]]",0.0,0.233,0.259,0,1.0,0.0,0.5
GPT-4o-mini,REMOVE,data/db_categorical_simple.sqlite,dataset_film_famosi,SELECT * FROM `dataset_film_famosi` ORDER BY `Titolo` + `Anno` + `Durata` ASC LIMIT 5,"Compute the sum of the columns Titolo, Anno, Durata for each row in `dataset_film_famosi`. Sort all rows in ascending order by this sum and return the first 5 rows.","[['Casablanca', 1942, 'Michael Curtiz', 'Romantico', 102, 3, 2044], ['Il Padrino', 1972, 'Francis Ford Coppola', 'Drammatico', 175, 3, 2347], ['The Godfather Part II', 1974, 'Francis Ford Coppola', 'Drammatico', 202, 6, 2478], [""Schindler's List"", 1993, 'Steven Spielberg', 'Storico', 195, 7, 2321], ['The Silence of the Lambs', 1991, 'Jonathan Demme', 'Thriller', 118, 5, 2229]]",0.0,0.438,0.5,0,1.0,0.0,0.5
GPT-4o-mini,REMOVE,data/db_categorical_simple.sqlite,dataset_film_famosi,SELECT * FROM `dataset_film_famosi` ORDER BY `Anno` + `Oscar vinti` DESC LIMIT 5,"Compute the sum of the columns Anno, Oscar vinti for each row in `dataset_film_famosi`. Sort all rows in descending order by this sum and return the first 5 rows.","[['Parasite', 2019, 'Bong Joon-ho', 'Thriller', 132, 4, 2023], ['The Shape of Water', 2017, 'Guillermo del Toro', 'Fantasy', 123, 4, 2021], ['La La Land', 2016, 'Damien Chazelle', 'Musical', 128, 6, 2022], ['12 Years a Slave', 2013, 'Steve McQueen', 'Storico', 134, 3, 2016], ['Argo', 2012, 'Ben Affleck', 'Thriller', 120, 3, 2015]]",0.0,0.581,0.643,0,1.0,0.0,0.5
GPT-4o-mini,REMOVE,data/db_categorical_simple.sqlite,dataset_film_famosi,SELECT `Anno` FROM `dataset_film_famosi` ORDER BY `Anno` ASC LIMIT 5,Select only the column `Anno` from `dataset_film_famosi`. Sort it in ascending order and return the first 5 values.,"[[1942], [1972], [1974], [1991], [1993]]",0.0,1.0,1.0,1,1.0,1.0,1.0
