model,execution_type,db_path,table,sql_query,question,result,tables_used,retry_count,valid_efficiency_score,cell_precision,cell_recall,execution_accuracy,tuple_cardinality,tuple_constraint,tuple_order
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,BMI,"[(66.2944,), (60.7756,), (60.38759999999999,), (54.9275,), (54.49439999999999,)]","Return only the gap between current weight_kg and the target weight for BMI 21, ranked descending, top 5","[[53.4, 'Emma'], [45.2, 'Frank'], [45.0, 'David'], [43.8, 'Uma'], [41.0, 'Xander']]","['bmi', 'BMI']",1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,BMI,"[('alice', 33.3), ('bob', 16.4), ('carla', 15.6), ('david', 38.4), ('emma', 48.2)]","Return the normalized name (lowercased, accents removed, non-alphanumerics stripped) and the BMI, ranked ascending on normalized name, top 5","[['alice', 33.3], ['bob', 16.4], ['carla', 15.6], ['david', 38.4], ['emma', 48.2]]","['bmi', 'BMI']",1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,energy_consumption,"[(808.6188999999999,), (722.1936,), (710.9968,), (668.309,), (616.5237999999999,)]","Return only the estimated CO2 in kg from kWh used (kWh * emission factor), ranked descending, top 5","[['Family_12', 2311], ['Family_6', 1762], ['Family_7', 2064], ['Family_16', 2032], ['Family_22', 1910]]",['energy_consumption'],1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,student_performance,"[(1,), (1,), (1,), (1,), (1,)]","Return only the numeric pass flag (1 for pass-like values, 0 otherwise), ranked descending, top 5","[['Student_1', 1], ['Student_2', 1], ['Student_3', 1], ['Student_4', 1], ['Student_5', 1]]",['student_performance'],1,0.0,0.167,1.0,0.0,1.0,0.0,1.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,student_performance,"[(1, 83.5), (2, 70.5), (3, 55.0), (4, 72.5), (5, 51.5)]","Return the trailing numeric ID parsed from the student name and his average score, ranked ascending on numeric id, return only the top 5","[[1, 83.5], [2, 70.5], [3, 55.0], [4, 72.5], [5, 51.5]]",['student_performance'],1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,products,"[(1184.27,), (1064.71,), (1035.79,), (994.5699999999999,), (978.65,)]","Return only revenue per unit (total_revenue / units_sold), ranked descending, top 5","[['Batterie Duracell', 1183.72], ['USB Kingston', 1065.05], ['Orologio Casio', 926.09], ['Router TP-Link', 875.54], ['Tastiera Apple', 978.65]]",['products'],1,0.0,0.1,0.2,0.0,1.0,0.0,1.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,products,"[(0.021490191262702237,), (0.028289210023810085,), (0.22071220558933224,), (0.2688447357640311,), (0.343671628935969,)]","Return only a simple cross-sectional elasticity proxy (units_sold / price, ranked ascending, top 5","[['Orologio Casio', 0.949], ['Penna BIC', 0.473], ['Tastiera Apple', 0.221], ['Lavatrice LG', 0.532], ['Router TP-Link', 1.037]]",['products'],1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,products,"[('airpods',), ('batterie duracell',), ('birra heineken',), ('borsa prada',), ('caffe lavazza',)]","Return only normalized product name (lowercased, accents removed, non-alphanumerics stripped), ranked ascending, top 5","[['airpods'], ['borsa prada'], ['caffe lavazza'], ['coca cola'], ['cuffie sony']]",['products'],1,0.0,0.6,0.6,0.0,1.0,0.6,1.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,financial,"[(None,), (None,), (None,), (None,), (None,)]","Return only numeric savings rate converted from percent-like text to decimal, ranked descending, top 5","[[0.79], [0.702], [0.741], [0.676], [0.578]]",['financial'],1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,financial,"[(3.9116075764934433,), (3.2534735260983854,), (3.047701647875108,), (2.645631067961165,), (1.9595190380761522,)]","Return only burn rate (expenses / income, ranked descending order, top 5","[[3.912], [3.237], [2.973], [2.958], [2.873]]",['financial'],1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,logistic_delivery,"[(23.01075268817204,), (20.633802816901408,), (18.80794701986755,), (18.238993710691823,), (15.7,)]","Return only efficiency score (km per liter), ranked descending order, top 5","[[23.01], [20.63], [18.81], [18.24], [15.7]]",['logistics_delivery'],1,0.0,0.2,0.2,0.0,1.0,0.2,1.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,logistic_delivery,"[(1.5,), (1.4423076923076923,), (0.7068965517241379,), (0.6825396825396826,), (0.6173913043478261,)]","Return only delivery density (packages per km), ranked descending order, top 5","[[1.5], [1.442], [0.683], [0.617], [0.441]]",['logistics_delivery'],1,0.0,0.2,0.2,0.0,1.0,0.2,1.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,logistic_delivery,"[(42.35294117647059,), (25.666666666666668,), (23.4375,), (19.142857142857142,), (18.695652173913047,)]","Return only route stress index (packages per hour), ranked descending order, top 5","[[13.393], [12.946], [11.607], [9.654], [9.643]]",['logistics_delivery'],1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,BMI,"[('ALICE', 33.3), ('BOB', 16.4), ('CARLA', 15.6), ('DAVID', 38.4), ('EMMA', 48.2)]","Return the uppercase version of the name field from the bmi table and the BMI score, return the first 5 rows","[['ALICE', 33.3], ['BOB', 16.4], ['CARLA', 15.6], ['DAVID', 38.4], ['EMMA', 48.2]]","['bmi', 'BMI']",1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,energy_consumption,"[('family_1', 987), ('family_2', 1248), ('family_3', 1123), ('family_4', 1108), ('family_5', 1465)]","Return the lowercase version of the household_name field and the kwh_used from the energy_consumption table, return the first 5 rows","[['family_1', 987], ['family_2', 1248], ['family_3', 1123], ['family_4', 1108], ['family_5', 1465]]",['energy_consumption'],1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,student_performance,"[('Student_1', 82), ('Student_2', 48), ('Student_3', 52), ('Student_4', 62), ('Student_5', 51)]","Return the student_name transformed to title case (capitalize each word) and math_score from the student_performance table, return the first 5 rows","[['Student_1', 82], ['Student_2', 48], ['Student_3', 52], ['Student_4', 62], ['Student_5', 51]]",['student_performance'],1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,products,[],"Return the category value with leading and trailing spaces removed and it's price from the products table, return the first 5 rows","[['Food', 466.72], ['Electronics', 325.98], ['Stationery', 994.57], ['Electronics', 428.43], ['Food', 337.48]]",['products'],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,products,[],"Return the name value with multiple internal spaces collapsed to a single space and outer spaces trimmed and units_sold from the products table, return only the first 5 rows","[['Pasta Barilla', 622], ['iPhone 13', 952], ['Penna BIC', 471], ['Laptop Dell', 652], ['Coca Cola', 778]]",['products'],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,products,[],"Return the name value with diacritics removed (ASCII-like form) and total_revenue from the products table, return only the first 5 rows","[['Pasta Barilla', 290299.84], ['iPhone 13', 310332.96], ['Penna BIC', 468442.47], ['Laptop Dell', 279336.36], ['Coca Cola', 262559.44]]",['products'],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,logistic_delivery,"[(23,), (35,), (13,), (71,), (67,)]",Return only the integer parsed from the packages field from the logistics_delivery table and output the first 5 rows,"[[23], [35], [13], [71], [67]]",['logistics_delivery'],1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5_mini,NORMAL,data/db_numerical_simple.sqlite,financial,"[(0.7773257390832655,), (0.2981500253421186,), (2.645631067961165,), (0.4222065063649222,), (0.7240951029098651,)]",Return only the result of expenses divided by income with safe handling for null or zero income from the financial table and output the first 5 rows,"[[0.777], [0.298], [2.647], [0.422], [0.724]]",['financial'],1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
