model,execution_type,db_path,table,sql_query,question,result,tables_used,retry_count,valid_efficiency_score,cell_precision,cell_recall,execution_accuracy,tuple_cardinality,tuple_constraint,tuple_order
gpt-5_mini,,data/db_music_cut_300.sqlite,albums,"[(2015,), (2017,), (2019,), (2020,), (2021,)]","From the `albums` table (T1), extract the year from the `release_date (dd-mm-yyyy)` column and alias this new column as `release_year`. Find all unique (distinct) values for `release_year`. Sort these unique years in ascending order and return the top 5.","[[2020], [2021], [2022], [2023], [2024]]",['albums'],1,0.0,0.4,0.4,0.0,1.0,0.4,1.0
gpt-5_mini,,data/db_music_cut_300.sqlite,albums,"[(1,), (2,), (3,), (4,), (5,)]","From the `albums` table (T1), for each row, extract the month from the `release_date (dd-mm-yyyy)` column and name it `release_month`. Filter the results to get only the unique month values. Sort these months in ascending order and return the top 5.","[[1], [2], [3], [4], [5]]",['albums'],1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5_mini,,data/db_music_cut_300.sqlite,albums,"[(1,), (2,), (3,), (4,), (5,)]","From the `albums` table (T1), extract the day from the `release_date (dd-mm-yyyy)` column, aliasing it as `release_day`. Select only the distinct day values. Sort these unique days in ascending order and return the top 5.","[[1], [2], [3], [4], [5]]",['albums'],1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5_mini,,data/db_music_cut_300.sqlite,artists,"[('21',), ('24kGoldn',), ('3',), ('Adele',), ('Ariana',)]","From the `artists` table (T1), for each artist, extract the first name from the `name` column and assign the result to the alias `fname`. Sort the results alphabetically by `fname` in ascending order and return the top 5 names.","[['Alex'], ['Anna'], ['Ben'], ['Chloe'], ['David']]",['artists'],1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
gpt-5_mini,,data/db_music_cut_300.sqlite,artists,"[('studio',), ('sound',), ('X',), ('Weeknd',), ('Turner',)]","From the `artists` table (T1), extract the last name from the `name` column and call it `lname`. Sort the results in reverse alphabetical order (descending) by `lname` and return the top 5 last names.","[['Zimmerman'], ['Young'], ['Wilson'], ['Taylor'], ['Smith']]",['artists'],1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
gpt-5_mini,,data/db_music_cut_300.sqlite,tracks,"[(37,), (33,), (29,), (26,), (26,)]","For each track in the `tracks` table (T1), calculate the length (number of characters) of the `title` column and assign the result to the alias `title_len`. Sort these lengths in descending order and return the 5 largest ones.","[[30], [28], [27], [25], [24]]",['tracks'],1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
gpt-5_mini,,data/db_music_cut_300.sqlite,tracks,"[('AS IT WAS',), ('BAND4BAND (FEAT. LIL BABY)',), ('BATHROOM FLOOR',), ('BEAT AUTOMOTIVO TAN TAN TAN VIRAL',), ('BEAUTIFUL THINGS',)]","From the `tracks` table (T1), convert the text in the `title` column to uppercase and assign the result to the alias `upper_title`. Sort the results alphabetically in ascending order and return the top 5 uppercase titles.","[['A PLACEHOLDER TITLE 1'], ['A PLACEHOLDER TITLE 2'], ['A PLACEHOLDER TITLE 3'], ['A PLACEHOLDER TITLE 4'], ['A PLACEHOLDER TITLE 5']]",['tracks'],1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
gpt-5_mini,,data/db_music_cut_300.sqlite,tracks,"[('bxweh2200054',), ('nlc242100307',), ('qm24s2402528',), ('qzj842400387',), ('qzl382406049',)]","From the `tracks` table (T1), consider only rows where `isrc` is not null. Convert the value of the `isrc` column to lowercase, aliasing it as `isrc_lower`. Sort the results alphabetically and return the top 5.","[['bxweh2200054'], ['nlc242100307'], ['qm24s2402528'], ['qzl382406049'], ['qzj842400387']]",['tracks'],1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5_mini,,data/db_music_cut_300.sqlite,tracks,"[(2021, 1), (2022, 3), (2023, 5), (2024, 18)]","Join `tracks` (T1) and `albums` (T2) on `album_id`. For each track, extract the release year from the album's date and call it `rel_year`. Group the rows by `rel_year`. For each group (year), count the number of tracks. Finally, order the groups by year in ascending order.","[[2015, 1], [2017, 2], [2019, 2], [2020, 2], [2021, 1], [2022, 4], [2023, 8], [2024, 9]]","['albums', 'tracks']",1,0.0,0.385,0.625,0.0,0.5,0.25,0.5
gpt-5_mini,,data/db_music_cut_300.sqlite,tracks,"[(10, 297185), (11, 670665438), (8, 1065399331), (2, 1101780132), (9, 1258569694), (4, 1333787207), (6, 1764173248), (5, 2747362624), (1, 2931439384), (7, 3107100349), (3, 5183965823)]","Join the `tracks` and `albums` tables on `album_id`. Extract the month from the album's release date and call it `rel_month`. Group the rows by `rel_month`. For each month, calculate the total sum of `spotify_streams`. Order the results by total streams in ascending order. and return only 'rel_month' and 'tot_stream' columns.","[[10, 297185.0], [5, 14765292.0], [1, 2200608499.0], [2, 1640939961.0], [3, 938040400.0], [4, 2282243872.0], [6, 5643841985.0], [7, 4062243364.0]]","['albums', 'tracks']",1,0.0,0.562,0.409,0.0,0.727,0.091,0.727
gpt-5_mini,,data/db_music_cut_300.sqlite,artists,"[('21 ',), ('24k',), ('3 P',), ('Ade',), ('Ari',)]","From the `artists` table (T1), for each name in the `name` column, extract the first 3 characters and assign the result to the alias `name_prefix`. Order these prefixes in ascending alphabetical order and return the top 5.","[['Ali'], ['Ann'], ['Aya'], ['Ben'], ['Bil']]",['artists'],1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
