db_path,table_name,test_category,query,model,AI_answer,SQL_query,failed_attempts,note,valid_efficiency_score,cell_precision,cell_recall,execution_accuracy,tuple_cardinality,tuple_constraint,tuple_order
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,"List the top 5 rows from the table `animals`, sorted by the column `Average weight (kg)` in descending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Blue whale', 'Mammal', 'Oceans', 150000], ['African elephant', 'Mammal', 'African savannas', 6000], ['White rhinoceros', 'Mammal', 'African savannas', 3000], ['Hippopotamus', 'Mammal', 'African rivers', 2500], ['Giraffe', 'Mammal', 'Savannas', 1800]]",SELECT * FROM `animals` ORDER BY `Average weight (kg)` DESC LIMIT 5,0,,0.0,0.733,0.55,0.0,1.0,0.0,0.5
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,"List the top 5 rows from the table `animals`, sorted by the column `Name` in ascending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Mammal', 'African savannas', 70, 6000.0, 'African Elephant'], ['Mammal', 'Savannas', 14, 190.0, 'Baboon'], ['Reptile', 'Rivers and lakes', 70, 500.0, 'Nile Crocodile'], ['Bird', 'Mountains', 25, 6.0, 'Golden Eagle'], ['Bird', 'Antarctica', 20, 30.0, 'Emperor Penguin']]",SELECT * FROM `animals` ORDER BY `Name` ASC LIMIT 5,0,,0.0,0.364,0.381,0.0,1.0,0.0,0.5
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,Show the first 5 entries ordered by Average weight (kg) in descending order for the table animals,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Blue whale', 'Mammal', 'Oceans', 90], ['African elephant', 'Mammal', 'African savannas', 70], ['White rhinoceros', 'Mammal', 'African savannas', 50], ['Hippopotamus', 'Mammal', 'African rivers', 40], ['Nile crocodile', 'Reptile', 'Rivers and lakes', 70]]",SELECT * FROM `animals` ORDER BY `Average weight (kg)` DESC LIMIT 5,0,,0.0,0.8,0.6,0.0,1.0,0.0,0.5
data/categorical_simple_eng.sqlite,animals,ORDERBY-PROJECT,Select only the column `Name` from `animals`. Sort it in ascending order and return the first 5 values.,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['African Elephant'], ['African Penguin'], ['Alligator'], ['Albatross'], ['Arctic Fox']]",SELECT `Name` FROM `animals` ORDER BY `Name` ASC LIMIT 5,0,,0.0,0.0,0.0,0.0,1.0,0.0,0.5
data/categorical_simple_eng.sqlite,animals,ORDERBY-PROJECT,Select only the column `Average lifespan` from `animals`. Sort it in descending order and return the first 5 values.,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[[70], [60], [50], [40], [30]]",SELECT `Average lifespan` FROM `animals` ORDER BY `Average lifespan` DESC LIMIT 5,0,,0.0,0.2,0.333,0.0,1.0,0.0,1.0
data/categorical_simple_eng.sqlite,animals,ORDERBY-PROJECT,Select only the column `Average weight (kg)` from `animals`. Sort it in ascending order and return the first 5 values.,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[[0.1, 'Seahorse'], [0.2, 'Panther chameleon'], [1, 'Peregrine falcon'], [1, 'Macaw parrot'], [6, 'Golden eagle']]",SELECT `Average weight (kg)` FROM `animals` ORDER BY `Average weight (kg)` ASC LIMIT 5,0,,0.0,0.333,0.6,0.0,1.0,0.0,0.5
data/categorical_simple_eng.sqlite,animals,ORDERBY-PROJECT,Project the Name ordered in ascending order for the table animals and show only the first 5 entries,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['African Elephant'], ['Gazelle'], ['Saltwater Crocodile'], ['Golden Eagle'], ['Emperor Penguin']]",SELECT `Name` FROM `animals` ORDER BY `Name` ASC LIMIT 5,0,,0.0,0.0,0.0,0.0,1.0,0.0,0.5
data/categorical_simple_eng.sqlite,animals,ORDERBY-PROJECT,Project the Name ordered in descending order for the table animals and show only the first 5 entries,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['African Elephant'], ['Blue Whale'], ['Giant Tortoise'], ['Saltwater Crocodile'], ['Penguin']]",SELECT `Name` FROM `animals` ORDER BY `Name` DESC LIMIT 5,0,,0.0,0.0,0.0,0.0,1.0,0.0,0.5
data/categorical_simple_eng.sqlite,cars,ORDERBY-SINGLE,"List the top 5 rows from the table `cars`, sorted by the column `Model` in descending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Volvo', 2022, 'SUV', 250, 7.1, 'Sweden'], ['Volkswagen', 2021, 'Sedan', 130, 5.1, 'Germany'], ['Toyota', 2023, 'SUV', 116, 4.7, 'Japan'], ['Tesla', 2022, 'Sedan', 283, 0.0, 'USA'], ['Subaru', 2022, 'SUV', 150, 6.7, 'Japan']]",SELECT * FROM `cars` ORDER BY `Model` DESC LIMIT 5,0,,0.0,0.542,0.464,0.0,1.0,0.0,0.5
data/categorical_simple_eng.sqlite,cars,ORDERBY-SINGLE,"List the top 5 rows from the table `cars`, sorted by the column `Horsepower` in ascending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Aygo X', 'Toyota', 2022, 'City car', 4.8, 'Czech Republic', 72], ['Panda', 'Fiat', 2020, 'City car', 4.9, 'Italy', 75], ['Sandero', 'Dacia', 2021, 'Hatchback', 5.0, 'Romania', 80], ['Corsa', 'Opel', 2022, 'Hatchback', 4.7, 'Germany', 83], ['Polo', 'Volkswagen', 2021, 'Hatchback', 4.8, 'Germany', 85]]",SELECT * FROM `cars` ORDER BY `Horsepower` ASC LIMIT 5,0,,0.0,0.75,0.75,0.0,1.0,0.2,0.5
