db_path,table_name,test_category,query,model,AI_answer,SQL_query,failed_attempts,note,valid_efficiency_score,cell_precision,cell_recall,execution_accuracy,tuple_cardinality,tuple_constraint,tuple_order
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,"List the top 5 rows from the table `animals`, sorted by the column `Habitat` in ascending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Hippopotamus', 'Mammal', 'African rivers', 40, 1500.0], ['African elephant', 'Mammal', 'African savannas', 70, 6000.0], ['Emperor penguin', 'Bird', 'Antarctica', 20, 30.0], ['Polar bear', 'Mammal', 'Arctic', 25, 450.0], ['Red kangaroo', 'Mammal', 'Australian deserts', 23, 85.0]]",SELECT * FROM `animals` ORDER BY `Habitat` ASC LIMIT 5,1,,0.0,0.818,0.857,0.0,1.0,0.8,1.0
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,"List the top 5 rows from the table `animals`, sorted by the column `Habitat` in descending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Wandering albatross', 'Bird', 'Oceans', 50, 11.0], ['Peregrine falcon', 'Bird', 'Cliffs and urban areas', 15, 1.0], ['Panther chameleon', 'Reptile', 'Madagascar forests', 5, 0.2], ['Macaw parrot', 'Bird', 'Rainforests', 50, 1.2], ['King cobra', 'Reptile', 'Tropical forests', 20, 6.0]]",SELECT * FROM `animals` ORDER BY `Habitat` DESC LIMIT 5,1,,0.0,0.238,0.278,0.0,1.0,0.2,1.0
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,"List the top 5 rows from the table `animals`, sorted by the column `Average weight (kg)` in ascending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Seahorse', 'Fish', 'Coral reefs', 4, 0.05], ['Panther chameleon', 'Reptile', 'Madagascar forests', 5, 0.2], ['Peregrine falcon', 'Bird', 'Cliffs and urban areas', 15, 1.0], ['Macaw parrot', 'Bird', 'Rainforests', 50, 1.2], ['King cobra', 'Reptile', 'Tropical forests', 20, 6.0]]",SELECT * FROM `animals` ORDER BY `Average weight (kg)` ASC LIMIT 5,0,,0.0,0.87,0.87,0.0,1.0,0.8,1.0
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,"List the top 5 rows from the table `animals`, sorted by the column `Average weight (kg)` in descending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Blue whale', 'Mammal', 'Oceans', 90, 140000.0], ['African elephant', 'Mammal', 'African savannas', 70, 6000.0], ['White rhinoceros', 'Mammal', 'African savannas', 50, 2400.0], ['Hippopotamus', 'Mammal', 'African rivers', 40, 1500.0], ['Giraffe', 'Mammal', 'Savannas', 25, 1200.0]]",SELECT * FROM `animals` ORDER BY `Average weight (kg)` DESC LIMIT 5,0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,"List the top 5 rows from the table `animals`, sorted by the column `Average lifespan` in ascending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Seahorse', 'Fish', 'Coral reefs', 4], ['Panther chameleon', 'Reptile', 'Madagascar forests', 5], ['Black panther', 'Mammal', 'Tropical forests', 12], ['Gray wolf', 'Mammal', 'Forests and tundra', 13], ['Lion', 'Mammal', 'Savannas', 14]]",SELECT * FROM `animals` ORDER BY `Average lifespan` ASC LIMIT 5,0,,0.0,1.0,0.783,0.0,1.0,0.0,0.5
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,"List the top 5 rows from the table `animals`, sorted by the column `Average lifespan` in descending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Giant tortoise', 'Reptile', 'Galápagos Islands', 100], ['Blue whale', 'Mammal', 'Oceans', 90], ['African elephant', 'Mammal', 'African savannas', 70], ['Nile crocodile', 'Reptile', 'Rivers and lakes', 70], ['Hippopotamus', 'Mammal', 'African rivers', 40]]",SELECT * FROM `animals` ORDER BY `Average lifespan` DESC LIMIT 5,0,,0.0,0.812,0.65,0.0,1.0,0.0,0.5
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,"List the top 5 rows from the table `animals`, sorted by the column `Name` in ascending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['African elephant', 'Mammal', 'African savannas', 70, 6000.0], ['Black panther', 'Mammal', 'Tropical forests', 12, 90.0], ['Blue whale', 'Mammal', 'Oceans', 90, 140000.0], ['Bengal tiger', 'Mammal', 'Forests', 15, 220.0], ['Emperor penguin', 'Bird', 'Antarctica', 20, 30.0]]",SELECT * FROM `animals` ORDER BY `Name` ASC LIMIT 5,0,,0.0,1.0,1.0,1.0,1.0,1.0,0.85
data/categorical_simple_eng.sqlite,animals,ORDERBY-SINGLE,"List the top 5 rows from the table `animals`, sorted by the column `Name` in descending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Wandering albatross', 'Bird', 'Oceans', 50, 11.0], ['White rhinoceros', 'Mammal', 'African savannas', 50, 2400.0], ['Seahorse', 'Fish', 'Coral reefs', 4, 0.05], ['Polar bear', 'Mammal', 'Arctic', 25, 450.0], ['Peregrine falcon', 'Bird', 'Cliffs and urban areas', 15, 1.0]]",SELECT * FROM `animals` ORDER BY `Name` DESC LIMIT 5,0,,0.0,0.636,0.609,0.0,1.0,0.6,0.75
a/categorical_simple_eng.sqlite,animals,ORDERBY-ADVANCED,"Compute the sum of the columns Average lifespan, Average weight (kg) for each row in `animals`. Sort all rows in ascending order by this sum and return the first 5 rows.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Seahorse', 'Fish', 'Coral reefs', 4, 0.05, 4.05, 'Below 100'], ['Panther chameleon', 'Reptile', 'Madagascar forests', 5, 0.2, 5.2, 'Below 100'], ['Peregrine falcon', 'Bird', 'Cliffs and urban areas', 15, 1.0, 16.0, 'Below 100'], ['King cobra', 'Reptile', 'Tropical forests', 20, 6.0, 26.0, 'Below 100'], ['Macaw parrot', 'Bird', 'Rainforests', 50, 1.2, 51.2, 'Below 100']]",SELECT * FROM `animals` ORDER BY `Average lifespan` + `Average weight (kg)` ASC LIMIT 5,1,,0.0,0.655,0.864,0.0,1.0,0.0,0.5
data/categorical_simple_eng.sqlite,animals,ORDERBY-ADVANCED,"Compute the sum of the columns Average lifespan, Average weight (kg) for each row in `animals`. Sort all rows in descending order by this sum and return the first 5 rows.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Blue whale', 'Mammal', 'Oceans', 90, 140000.0, 140090], ['White rhinoceros', 'Mammal', 'African savannas', 50, 2400.0, 2450], ['Giraffe', 'Mammal', 'Savannas', 25, 1200.0, 1225], ['Hippopotamus', 'Mammal', 'African rivers', 40, 1500.0, 1540], ['African elephant', 'Mammal', 'African savannas', 70, 6000.0, 6070]]",SELECT * FROM `animals` ORDER BY `Average lifespan` + `Average weight (kg)` DESC LIMIT 5,0,,0.0,0.8,1.0,0.0,1.0,0.0,0.5
