table_name,model,avg_valid_efficiency_score,avg_cell_precision,avg_cell_recall,avg_execution_accuracy,avg_tuple_cardinality,avg_tuple_constraint,avg_tuple_order
accounts_receivable,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,0.0,0.21483333333333332,0.21505555555555556,0.16666666666666666,0.3888888888888889,0.18888888888888888,0.3055555555555556
accounts_receivable,google/gemma-2-27b-it,0.0,0.5273888888888889,0.5253333333333333,0.16666666666666666,1.0,0.43333333333333335,0.8555555555555556
accounts_receivable,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,0.0,0.5113888888888889,0.5910555555555556,0.05555555555555555,1.0,0.26666666666666666,0.6888888888888889
breast_cancer,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,0.0,0.6728888888888889,0.6980555555555555,0.1111111111111111,0.7777777777777778,0.26666666666666666,0.5555555555555556
breast_cancer,google/gemma-2-27b-it,0.0,0.6135555555555556,0.6197777777777778,0.1111111111111111,1.0,0.23333333333333334,0.7777777777777778
breast_cancer,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,0.0,0.6494444444444444,0.6885555555555556,0.05555555555555555,1.0,0.24444444444444446,0.6388888888888888
fitness_trakers,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,0.0,0.0637,0.2265,0.0,0.5,0.0,0.35
fitness_trakers,google/gemma-2-27b-it,0.0,0.40310000000000007,0.5242,0.0,1.0,0.18,0.675
fitness_trakers,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,0.0,0.5086,0.5649,0.1,1.0,0.16,0.65
heart_attack,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,0.0,0.5758333333333333,0.5761666666666667,0.4444444444444444,0.6111111111111112,0.5666666666666667,0.5722222222222223
heart_attack,google/gemma-2-27b-it,0.0,0.6520555555555556,0.7214444444444444,0.2777777777777778,1.0,0.5111111111111111,0.7861111111111111
heart_attack,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,0.0,0.6389999999999999,0.7891111111111111,0.16666666666666666,1.0,0.37777777777777777,0.7555555555555555
mobiles,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,0.0,0.6125,0.663375,0.375,0.75,0.425,0.6875
mobiles,google/gemma-2-27b-it,0.0,0.770625,0.776375,0.5,1.0,0.5,0.8
mobiles,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,0.0,0.79775,0.875,0.625,1.0,0.725,0.83125
olympic_games,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,0.0,0.96,0.9856999999999999,0.8,1.0,0.9550000000000001,0.97
olympic_games,google/gemma-2-27b-it,0.0,0.9856999999999999,0.9800000000000001,0.9,1.0,0.9800000000000001,0.9400000000000001
olympic_games,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,0.0,0.7611,0.9800000000000001,0.5,1.0,0.58,0.74
